173.214.0.0,173.214.127.255,hosting,US 
173.214.128.0,173.214.128.0,isp,CA 
173.214.128.1,173.214.128.15,business,CA 
173.214.128.16,173.214.128.16,isp,CA 
173.214.128.17,173.214.128.23,business,CA 
173.214.128.24,173.214.128.24,isp,CA 
173.214.128.25,173.214.128.31,business,CA 
173.214.128.32,173.214.128.47,isp,CA 
173.214.128.48,173.214.128.55,business,CA 
173.214.128.56,173.214.128.64,isp,CA 
173.214.128.65,173.214.128.72,business,CA 
173.214.128.73,173.214.128.79,isp,CA 
173.214.128.80,173.214.128.95,business,CA 
173.214.128.96,173.214.128.96,isp,CA 
173.214.128.97,173.214.128.111,business,CA 
173.214.128.112,173.214.128.231,isp,CA 
173.214.128.232,173.214.128.232,business,CA 
173.214.128.233,173.214.128.235,isp,CA 
173.214.128.236,173.214.128.236,business,CA 
173.214.128.237,173.214.128.243,isp,CA 
173.214.128.244,173.214.128.244,business,CA 
173.214.128.245,173.214.129.0,isp,CA 
173.214.129.1,173.214.129.15,business,CA 
173.214.129.16,173.214.129.31,isp,CA 
173.214.129.32,173.214.129.32,business,CA 
173.214.129.33,173.214.129.79,isp,CA 
173.214.129.80,173.214.129.95,business,CA 
173.214.129.96,173.214.129.119,isp,CA 
173.214.129.120,173.214.129.127,business,CA 
173.214.129.128,173.214.129.192,isp,CA 
173.214.129.193,173.214.129.223,business,CA 
173.214.129.224,173.214.129.224,isp,CA 
173.214.129.225,173.214.129.255,business,CA 
173.214.130.0,173.214.130.7,isp,CA 
173.214.130.8,173.214.130.8,business,CA 
173.214.130.9,173.214.130.47,isp,CA 
173.214.130.48,173.214.130.48,business,CA 
173.214.130.49,173.214.130.127,isp,CA 
173.214.130.128,173.214.130.128,business,CA 
173.214.130.129,173.214.130.143,isp,CA 
173.214.130.144,173.214.130.144,business,CA 
173.214.130.145,173.214.130.183,isp,CA 
173.214.130.184,173.214.130.184,business,CA 
173.214.130.185,173.214.130.223,isp,CA 
173.214.130.224,173.214.130.224,business,CA 
173.214.130.225,173.214.131.151,isp,CA 
173.214.131.152,173.214.131.159,business,CA 
173.214.131.160,173.214.132.0,isp,CA 
173.214.132.1,173.214.132.31,business,CA 
173.214.132.32,173.214.142.255,isp,CA 
173.214.143.0,173.214.143.7,business,CA 
173.214.143.8,173.214.143.39,isp,CA 
173.214.143.40,173.214.143.40,business,CA 
173.214.143.41,173.214.143.47,isp,CA 
173.214.143.48,173.214.143.48,education,CA 
173.214.143.49,173.214.143.56,isp,CA 
173.214.143.57,173.214.143.63,business,CA 
173.214.143.64,173.214.143.96,isp,CA 
173.214.143.97,173.214.143.103,education,CA 
173.214.143.104,173.214.143.112,isp,CA 
173.214.143.113,173.214.143.119,business,CA 
173.214.143.120,173.214.143.120,isp,CA 
173.214.143.121,173.214.143.127,business,CA 
173.214.143.128,173.214.143.159,isp,CA 
173.214.143.160,173.214.143.160,business,CA 
173.214.143.161,173.214.143.167,isp,CA 
173.214.143.168,173.214.143.168,business,CA 
173.214.143.169,173.214.143.207,isp,CA 
173.214.143.208,173.214.143.223,business,CA 
173.214.143.224,173.214.143.239,isp,CA 
173.214.143.240,173.214.143.255,business,CA 
173.214.144.0,173.214.159.255,isp,US 
173.214.160.0,173.214.164.31,hosting,US 
173.214.164.32,173.214.164.47,hosting,ES 
173.214.164.48,173.214.169.255,hosting,US 
173.214.170.0,173.214.170.7,hosting,LK 
173.214.170.8,173.214.175.159,hosting,US 
173.214.175.160,173.214.175.175,hosting,CR 
173.214.175.176,173.214.175.255,hosting,US 
173.214.176.0,173.214.179.255,business,LT 
173.214.180.0,173.214.180.255,hosting,US 
173.214.181.0,173.214.182.255,hosting,LT 
173.214.183.0,173.214.183.255,hosting,US 
173.214.184.0,173.214.185.255,isp,US 
173.214.186.0,173.214.186.255,hosting,US 
173.214.187.0,173.214.187.255,business,US 
173.214.188.0,173.214.193.255,hosting,US 
173.214.194.0,173.214.194.255,hosting,CA 
173.214.195.0,173.214.195.255,hosting,US 
173.214.196.0,173.214.199.255,isp,CA 
173.214.200.0,173.214.203.255,hosting,US 
173.214.204.0,173.214.204.255,business,US 
173.214.205.0,173.214.205.255,hosting,US 
173.214.206.0,173.214.207.255,business,US 
173.214.224.0,173.214.239.255,isp,US 
173.214.240.0,173.214.255.255,hosting,US 
