93.178.0.0,93.178.63.255,isp,SA 
93.178.64.0,93.178.104.63,isp,RU 
93.178.104.64,93.178.104.75,business,RU 
93.178.104.76,93.178.104.79,isp,RU 
93.178.104.80,93.178.104.87,business,RU 
93.178.104.88,93.178.104.91,isp,RU 
93.178.104.92,93.178.104.95,education,RU 
93.178.104.96,93.178.104.99,business,RU 
93.178.104.100,93.178.104.103,isp,RU 
93.178.104.104,93.178.104.107,education,RU 
93.178.104.108,93.178.104.111,business,RU 
93.178.104.112,93.178.104.155,isp,RU 
93.178.104.156,93.178.104.159,business,RU 
93.178.104.160,93.178.104.195,isp,RU 
93.178.104.196,93.178.104.199,business,RU 
93.178.104.200,93.178.104.235,isp,RU 
93.178.104.236,93.178.104.243,business,RU 
93.178.104.244,93.178.104.247,isp,RU 
93.178.104.248,93.178.104.255,business,RU 
93.178.105.0,93.178.105.127,education,RU 
93.178.105.128,93.178.105.223,business,RU 
93.178.105.224,93.178.125.255,isp,RU 
93.178.126.0,93.178.126.7,business,RU 
93.178.126.8,93.178.126.15,isp,RU 
93.178.126.16,93.178.126.23,business,RU 
93.178.126.24,93.178.126.47,isp,RU 
93.178.126.48,93.178.126.79,business,RU 
93.178.126.80,93.178.126.103,isp,RU 
93.178.126.104,93.178.126.111,business,RU 
93.178.126.112,93.178.126.127,isp,RU 
93.178.126.128,93.178.126.135,business,RU 
93.178.126.136,93.178.126.143,isp,RU 
93.178.126.144,93.178.126.159,business,RU 
93.178.126.160,93.178.126.199,isp,RU 
93.178.126.200,93.178.126.207,business,RU 
93.178.126.208,93.178.126.255,isp,RU 
93.178.127.0,93.178.127.63,business,RU 
93.178.127.64,93.178.127.127,isp,RU 
93.178.127.128,93.178.127.255,education,RU 
93.178.128.0,93.178.145.31,isp,DK 
93.178.145.32,93.178.145.47,business,DK 
93.178.145.48,93.178.145.175,isp,DK 
93.178.145.176,93.178.145.183,business,DK 
93.178.145.184,93.178.147.127,isp,DK 
93.178.147.128,93.178.147.159,business,DK 
93.178.147.160,93.178.147.191,isp,DK 
93.178.147.192,93.178.147.207,business,DK 
93.178.147.208,93.178.147.215,isp,DK 
93.178.147.216,93.178.147.223,business,DK 
93.178.147.224,93.178.176.167,isp,DK 
93.178.176.168,93.178.176.175,business,DK 
93.178.176.176,93.178.178.15,isp,DK 
93.178.178.16,93.178.178.23,business,DK 
93.178.178.24,93.178.178.143,isp,DK 
93.178.178.144,93.178.178.159,business,DK 
93.178.178.160,93.178.178.191,isp,DK 
93.178.178.192,93.178.178.199,business,DK 
93.178.178.200,93.178.179.247,isp,DK 
93.178.179.248,93.178.179.255,business,DK 
93.178.180.0,93.178.184.239,isp,DK 
93.178.184.240,93.178.184.255,business,DK 
93.178.185.0,93.178.190.143,isp,DK 
93.178.190.144,93.178.190.159,business,DK 
93.178.190.160,93.178.190.223,isp,DK 
93.178.190.224,93.178.190.239,business,DK 
93.178.190.240,93.178.191.255,isp,DK 
93.178.192.0,93.178.203.255,isp,UA 
93.178.204.0,93.178.205.87,business,UA 
93.178.205.88,93.178.205.95,isp,UA 
93.178.205.96,93.178.205.127,business,UA 
93.178.205.128,93.178.205.255,isp,UA 
93.178.206.0,93.178.206.95,business,UA 
93.178.206.96,93.178.206.127,isp,UA 
93.178.206.128,93.178.206.159,business,UA 
93.178.206.160,93.178.206.191,isp,UA 
93.178.206.192,93.178.206.207,business,UA 
93.178.206.208,93.178.206.255,isp,UA 
93.178.207.0,93.178.207.31,business,UA 
93.178.207.32,93.178.215.255,isp,UA 
93.178.216.0,93.178.216.31,business,UA 
93.178.216.32,93.178.216.95,isp,UA 
93.178.216.96,93.178.216.143,business,UA 
93.178.216.144,93.178.216.159,isp,UA 
93.178.216.160,93.178.216.175,business,UA 
93.178.216.176,93.178.216.183,isp,UA 
93.178.216.184,93.178.216.191,business,UA 
93.178.216.192,93.178.216.255,isp,UA 
93.178.217.0,93.178.217.23,business,UA 
93.178.217.24,93.178.217.63,isp,UA 
93.178.217.64,93.178.217.95,business,UA 
93.178.217.96,93.178.217.127,isp,UA 
93.178.217.128,93.178.218.63,business,UA 
93.178.218.64,93.178.218.127,isp,UA 
93.178.218.128,93.178.218.191,business,UA 
93.178.218.192,93.178.218.255,isp,UA 
93.178.219.0,93.178.219.127,business,UA 
93.178.219.128,93.178.220.47,isp,UA 
93.178.220.48,93.178.220.55,business,UA 
93.178.220.56,93.178.230.67,isp,UA 
93.178.230.68,93.178.230.71,isp,DE 
93.178.230.72,93.178.231.255,isp,UA 
93.178.232.0,93.178.232.255,business,UA 
93.178.233.0,93.178.255.255,isp,UA 
