202.167.0.0,202.167.13.255,business,SG 
202.167.14.0,202.167.15.255,business,AU 
202.167.16.0,202.167.46.255,business,SG 
202.167.47.0,202.167.47.255,hosting,AU 
202.167.48.0,202.167.100.127,business,SG 
202.167.100.128,202.167.100.255,isp,HK 
202.167.101.0,202.167.159.111,business,SG 
202.167.159.112,202.167.159.127,hosting,SG 
202.167.159.128,202.167.191.255,business,SG 
202.167.192.0,202.167.207.255,isp,IN 
202.167.208.0,202.167.214.255,isp,KR 
202.167.215.0,202.167.215.255,business,KR 
202.167.216.0,202.167.223.255,isp,KR 
202.167.224.0,202.167.226.255,hosting,JP 
202.167.227.0,202.167.227.83,hosting,AU 
202.167.227.84,202.167.227.87,hosting,SY 
202.167.227.88,202.167.227.95,hosting,AU 
202.167.227.96,202.167.227.111,hosting,US 
202.167.227.112,202.167.227.219,hosting,AU 
202.167.227.220,202.167.227.223,hosting,US 
202.167.227.224,202.167.227.255,hosting,AU 
202.167.228.0,202.167.230.15,hosting,JP 
202.167.230.16,202.167.230.23,hosting,AU 
202.167.230.24,202.167.230.255,hosting,JP 
202.167.231.0,202.167.231.255,isp,AU 
202.167.232.0,202.167.232.203,hosting,JP 
202.167.232.204,202.167.232.207,isp,HK 
202.167.232.208,202.167.232.215,hosting,SG 
202.167.232.216,202.167.234.191,hosting,JP 
202.167.234.192,202.167.234.255,hosting,HK 
202.167.235.0,202.167.235.63,business,HK 
202.167.235.64,202.167.235.87,hosting,JP 
202.167.235.88,202.167.235.95,business,HK 
202.167.235.96,202.167.235.255,hosting,JP 
202.167.236.0,202.167.237.255,business,JP 
202.167.238.0,202.167.238.255,hosting,JP 
202.167.239.0,202.167.239.255,business,JP 
202.167.240.0,202.167.242.219,hosting,JP 
202.167.242.220,202.167.242.227,business,JP 
202.167.242.228,202.167.243.255,hosting,JP 
202.167.244.0,202.167.244.15,hosting,AU 
202.167.244.16,202.167.244.23,hosting,JP 
202.167.244.24,202.167.244.27,hosting,AU 
202.167.244.28,202.167.244.63,hosting,JP 
202.167.244.64,202.167.244.95,business,AU 
202.167.244.96,202.167.244.111,hosting,JP 
202.167.244.112,202.167.244.119,business,AU 
202.167.244.120,202.167.244.127,hosting,AU 
202.167.244.128,202.167.244.159,business,AU 
202.167.244.160,202.167.244.191,business,US 
202.167.244.192,202.167.244.215,business,AU 
202.167.244.216,202.167.244.219,isp,AU 
202.167.244.220,202.167.244.223,hosting,SG 
202.167.244.224,202.167.244.231,hosting,AU 
202.167.244.232,202.167.244.239,business,AU 
202.167.244.240,202.167.246.31,hosting,JP 
202.167.246.32,202.167.246.119,hosting,AU 
202.167.246.120,202.167.246.127,hosting,SG 
202.167.246.128,202.167.246.143,hosting,AU 
202.167.246.144,202.167.246.159,hosting,PG 
202.167.246.160,202.167.246.223,hosting,AU 
202.167.246.224,202.167.246.255,isp,AU 
202.167.247.0,202.167.247.63,hosting,AU 
202.167.247.64,202.167.247.103,hosting,JP 
202.167.247.104,202.167.247.127,hosting,AU 
202.167.247.128,202.167.247.135,hosting,JP 
202.167.247.136,202.167.247.159,hosting,AU 
202.167.247.160,202.167.247.175,hosting,JP 
202.167.247.176,202.167.247.255,hosting,AU 
202.167.248.0,202.167.248.63,hosting,JP 
202.167.248.64,202.167.248.95,hosting,HK 
202.167.248.96,202.167.248.127,hosting,JP 
202.167.248.128,202.167.248.143,hosting,HK 
202.167.248.144,202.167.248.151,isp,HK 
202.167.248.152,202.167.248.155,hosting,JP 
202.167.248.156,202.167.248.159,hosting,HK 
202.167.248.160,202.167.248.171,hosting,JP 
202.167.248.172,202.167.248.231,hosting,HK 
202.167.248.232,202.167.248.235,hosting,JP 
202.167.248.236,202.167.248.239,hosting,HK 
202.167.248.240,202.167.248.247,hosting,JP 
202.167.248.248,202.167.248.255,hosting,SG 
202.167.249.0,202.167.249.255,hosting,JP 
202.167.250.0,202.167.250.255,business,HK 
202.167.251.0,202.167.251.255,hosting,JP 
202.167.252.0,202.167.252.255,business,AU 
202.167.253.0,202.167.253.15,hosting,AU 
202.167.253.16,202.167.253.31,hosting,JP 
202.167.253.32,202.167.253.63,hosting,AU 
202.167.253.64,202.167.253.127,hosting,JP 
202.167.253.128,202.167.253.255,hosting,AU 
202.167.254.0,202.167.254.23,business,JP 
202.167.254.24,202.167.254.31,hosting,JP 
202.167.254.32,202.167.254.63,business,JP 
202.167.254.64,202.167.255.255,hosting,JP 
