140.233.128.0,140.233.159.255,isp,HK 
140.233.160.0,140.233.163.255,business,NL 
140.233.164.0,140.233.164.255,hosting,NL 
140.233.165.0,140.233.165.255,isp,US 
140.233.166.0,140.233.166.255,isp,HK 
140.233.167.0,140.233.167.255,hosting,NL 
140.233.168.0,140.233.175.255,business,NL 
140.233.176.0,140.233.179.255,hosting,US 
140.233.180.0,140.233.183.255,isp,HK 
140.233.184.0,140.233.184.255,hosting,RO 
140.233.185.0,140.233.185.255,hosting,SG 
140.233.186.0,140.233.186.255,hosting,UA 
140.233.187.0,140.233.187.255,hosting,MY 
140.233.188.0,140.233.189.255,business,US 
140.233.190.0,140.233.190.255,hosting,RO 
140.233.191.0,140.233.191.255,isp,GB 
140.233.192.0,140.233.207.255,business,US 
140.233.208.0,140.233.215.255,isp,NL 
140.233.216.0,140.233.223.255,isp,DE 
140.233.224.0,140.233.255.255,isp,US 
