95.179.0.0,95.179.127.255,isp,RU 
95.179.128.0,95.179.159.255,hosting,NL 
95.179.160.0,95.179.172.31,hosting,DE 
95.179.172.32,95.179.175.223,hosting,NL 
95.179.175.224,95.179.175.255,business,DE 
95.179.176.0,95.179.191.255,hosting,NL 
95.179.192.0,95.179.203.255,hosting,GB 
95.179.204.0,95.179.204.31,hosting,NL 
95.179.204.32,95.179.204.63,hosting,GB 
95.179.204.64,95.179.205.127,hosting,NL 
95.179.205.128,95.179.205.191,hosting,GB 
95.179.205.192,95.179.205.255,hosting,NL 
95.179.206.0,95.179.207.255,hosting,GB 
95.179.208.0,95.179.223.255,hosting,FR 
95.179.224.0,95.179.239.255,hosting,GB 
95.179.240.0,95.179.255.255,hosting,DE 
