176.125.0.0,176.125.31.255,isp,DE 
176.125.32.0,176.125.63.255,isp,UA 
176.125.64.0,176.125.127.255,isp,RU 
176.125.128.0,176.125.191.255,business,RU 
176.125.192.0,176.125.223.255,isp,RU 
176.125.224.0,176.125.227.255,isp,FR 
176.125.228.0,176.125.228.255,hosting,DZ 
176.125.229.0,176.125.229.255,hosting,ME 
176.125.230.0,176.125.230.255,hosting,MT 
176.125.231.0,176.125.231.255,business,AE 
176.125.232.0,176.125.232.191,hosting,NO 
176.125.232.192,176.125.232.223,business,NO 
176.125.232.224,176.125.233.47,hosting,NO 
176.125.233.48,176.125.233.63,isp,NO 
176.125.233.64,176.125.235.255,hosting,NO 
176.125.236.0,176.125.239.255,hosting,DE 
176.125.240.0,176.125.243.255,hosting,UA 
176.125.244.0,176.125.247.255,isp,NO 
176.125.248.0,176.125.248.255,hosting,US 
176.125.249.0,176.125.249.255,hosting,GB 
176.125.250.0,176.125.250.255,hosting,US 
176.125.251.0,176.125.251.255,business,US 
176.125.252.0,176.125.253.255,isp,IT 
176.125.254.0,176.125.254.255,business,US 
176.125.255.0,176.125.255.255,isp,IQ 
