88.205.0.0,88.205.15.255,hosting,DE 
88.205.16.0,88.205.17.255,business,GB 
88.205.18.0,88.205.19.255,hosting,DE 
88.205.20.0,88.205.20.127,business,DE 
88.205.20.128,88.205.99.255,hosting,DE 
88.205.100.0,88.205.100.3,business,CZ 
88.205.100.4,88.205.100.11,hosting,DE 
88.205.100.12,88.205.100.15,business,LI 
88.205.100.16,88.205.100.23,business,NL 
88.205.100.24,88.205.100.31,business,FR 
88.205.100.32,88.205.100.35,business,US 
88.205.100.36,88.205.100.39,hosting,DE 
88.205.100.40,88.205.100.67,business,DE 
88.205.100.68,88.205.100.71,hosting,DE 
88.205.100.72,88.205.100.79,business,DE 
88.205.100.80,88.205.100.83,isp,AE 
88.205.100.84,88.205.100.87,business,NL 
88.205.100.88,88.205.100.111,business,DE 
88.205.100.112,88.205.100.115,business,US 
88.205.100.116,88.205.100.119,hosting,DE 
88.205.100.120,88.205.100.127,business,IE 
88.205.100.128,88.205.100.135,business,US 
88.205.100.136,88.205.100.139,business,DE 
88.205.100.140,88.205.100.143,hosting,DE 
88.205.100.144,88.205.100.151,business,DE 
88.205.100.152,88.205.100.155,business,US 
88.205.100.156,88.205.100.159,isp,AT 
88.205.100.160,88.205.100.191,business,DE 
88.205.100.192,88.205.100.195,business,LU 
88.205.100.196,88.205.100.199,hosting,DE 
88.205.100.200,88.205.100.215,business,DE 
88.205.100.216,88.205.100.223,isp,CH 
88.205.100.224,88.205.100.239,business,DE 
88.205.100.240,88.205.100.243,business,CH 
88.205.100.244,88.205.100.247,business,LT 
88.205.100.248,88.205.100.251,hosting,DE 
88.205.100.252,88.205.100.255,business,LU 
88.205.101.0,88.205.101.7,business,US 
88.205.101.8,88.205.101.15,business,DE 
88.205.101.16,88.205.101.23,hosting,DE 
88.205.101.24,88.205.101.31,business,DE 
88.205.101.32,88.205.101.47,business,US 
88.205.101.48,88.205.101.51,business,DE 
88.205.101.52,88.205.101.55,business,NL 
88.205.101.56,88.205.101.63,hosting,DE 
88.205.101.64,88.205.101.95,business,US 
88.205.101.96,88.205.101.111,hosting,DE 
88.205.101.112,88.205.101.119,business,GB 
88.205.101.120,88.205.101.127,business,FI 
88.205.101.128,88.205.101.131,business,LT 
88.205.101.132,88.205.101.135,hosting,DE 
88.205.101.136,88.205.101.143,business,DE 
88.205.101.144,88.205.101.159,hosting,DE 
88.205.101.160,88.205.101.255,business,DE 
88.205.102.0,88.205.102.3,hosting,US 
88.205.102.4,88.205.102.35,hosting,DE 
88.205.102.36,88.205.102.39,hosting,US 
88.205.102.40,88.205.102.47,hosting,DE 
88.205.102.48,88.205.102.55,hosting,IL 
88.205.102.56,88.205.102.111,hosting,DE 
88.205.102.112,88.205.102.127,hosting,LU 
88.205.102.128,88.205.102.143,hosting,DE 
88.205.102.144,88.205.102.151,hosting,CZ 
88.205.102.152,88.205.102.155,isp,GB 
88.205.102.156,88.205.102.159,hosting,ES 
88.205.102.160,88.205.102.191,hosting,CW 
88.205.102.192,88.205.102.199,hosting,DE 
88.205.102.200,88.205.102.207,isp,AT 
88.205.102.208,88.205.102.223,isp,IL 
88.205.102.224,88.205.102.239,hosting,DE 
88.205.102.240,88.205.102.243,hosting,NL 
88.205.102.244,88.205.102.247,hosting,US 
88.205.102.248,88.205.102.255,hosting,DE 
88.205.103.0,88.205.103.63,business,DE 
88.205.103.64,88.205.103.79,hosting,DE 
88.205.103.80,88.205.103.95,business,FR 
88.205.103.96,88.205.103.111,business,LU 
88.205.103.112,88.205.103.119,business,IL 
88.205.103.120,88.205.103.175,hosting,DE 
88.205.103.176,88.205.103.207,business,DE 
88.205.103.208,88.205.103.215,business,KR 
88.205.103.216,88.205.103.239,hosting,DE 
88.205.103.240,88.205.103.255,business,DE 
88.205.104.0,88.205.104.7,hosting,DE 
88.205.104.8,88.205.104.15,hosting,NL 
88.205.104.16,88.205.104.31,hosting,US 
88.205.104.32,88.205.104.35,hosting,GB 
88.205.104.36,88.205.104.215,hosting,DE 
88.205.104.216,88.205.104.223,hosting,US 
88.205.104.224,88.205.104.255,hosting,DE 
88.205.105.0,88.205.105.31,hosting,US 
88.205.105.32,88.205.105.47,hosting,DE 
88.205.105.48,88.205.105.55,hosting,PL 
88.205.105.56,88.205.105.207,hosting,DE 
88.205.105.208,88.205.105.211,hosting,SK 
88.205.105.212,88.205.105.215,isp,NL 
88.205.105.216,88.205.105.223,hosting,DE 
88.205.105.224,88.205.105.227,hosting,US 
88.205.105.228,88.205.105.231,hosting,GB 
88.205.105.232,88.205.105.235,hosting,US 
