203.208.0.0,203.208.19.255,hosting,AU 
203.208.20.0,203.208.20.255,business,HK 
203.208.21.0,203.208.21.255,business,NZ 
203.208.22.0,203.208.22.255,isp,SG 
203.208.23.0,203.208.23.255,business,JP 
203.208.24.0,203.208.31.255,hosting,PH 
203.208.32.0,203.208.63.255,hosting,CN 
203.208.64.0,203.208.127.255,isp,AU 
203.208.128.0,203.208.140.255,isp,SG 
203.208.141.0,203.208.141.31,business,HK 
203.208.141.32,203.208.141.255,isp,HK 
203.208.142.0,203.208.164.31,isp,SG 
203.208.164.32,203.208.164.63,business,JP 
203.208.164.64,203.208.164.255,isp,SG 
203.208.165.0,203.208.165.127,business,SG 
203.208.165.128,203.208.169.95,isp,SG 
203.208.169.96,203.208.169.127,isp,US 
203.208.169.128,203.208.178.155,isp,SG 
203.208.178.156,203.208.178.159,isp,TW 
203.208.178.160,203.208.189.95,isp,SG 
203.208.189.96,203.208.189.127,business,SG 
203.208.189.128,203.208.190.31,isp,SG 
203.208.190.32,203.208.190.35,business,US 
203.208.190.36,203.208.197.63,isp,SG 
203.208.197.64,203.208.197.79,business,GB 
203.208.197.80,203.208.197.223,isp,SG 
203.208.197.224,203.208.197.255,isp,HK 
203.208.198.0,203.208.198.191,isp,SG 
203.208.198.192,203.208.198.223,business,SG 
203.208.198.224,203.208.198.255,isp,SG 
203.208.199.0,203.208.199.15,business,CN 
203.208.199.16,203.208.203.255,isp,SG 
203.208.204.0,203.208.204.127,business,SG 
203.208.204.128,203.208.204.143,isp,SG 
203.208.204.144,203.208.204.159,business,HK 
203.208.204.160,203.208.205.111,isp,SG 
203.208.205.112,203.208.205.127,business,HK 
203.208.205.128,203.208.205.191,business,SG 
203.208.205.192,203.208.207.127,isp,SG 
203.208.207.128,203.208.207.143,business,US 
203.208.207.144,203.208.207.159,isp,SG 
203.208.207.160,203.208.207.191,business,GB 
203.208.207.192,203.208.207.223,isp,SG 
203.208.207.224,203.208.207.255,business,HK 
203.208.208.0,203.208.225.63,isp,SG 
203.208.225.64,203.208.225.70,education,SG 
203.208.225.71,203.208.231.191,isp,SG 
203.208.231.192,203.208.231.223,business,SG 
203.208.231.224,203.208.237.111,isp,SG 
203.208.237.112,203.208.237.127,business,SG 
203.208.237.128,203.208.244.79,isp,SG 
203.208.244.80,203.208.244.95,education,SG 
203.208.244.96,203.208.244.127,isp,SG 
203.208.244.128,203.208.244.159,business,SG 
203.208.244.160,203.208.244.223,isp,SG 
203.208.244.224,203.208.244.238,business,SG 
203.208.244.239,203.208.246.255,isp,SG 
203.208.247.0,203.208.247.31,business,SG 
203.208.247.32,203.208.248.63,isp,SG 
203.208.248.64,203.208.248.127,business,SG 
203.208.248.128,203.208.249.127,isp,SG 
203.208.249.128,203.208.249.191,business,SG 
203.208.249.192,203.208.252.255,isp,SG 
203.208.253.0,203.208.253.7,business,SG 
203.208.253.8,203.208.253.87,isp,SG 
203.208.253.88,203.208.253.95,business,SG 
203.208.253.96,203.208.255.255,isp,SG 
