206.193.0.0,206.193.63.255,education,US 
206.193.64.0,206.193.191.255,business,US 
206.193.192.0,206.193.206.191,hosting,US 
206.193.206.192,206.193.207.255,business,US 
206.193.208.0,206.193.214.67,hosting,US 
206.193.214.68,206.193.214.71,business,US 
206.193.214.72,206.193.214.207,hosting,US 
206.193.214.208,206.193.214.211,business,US 
206.193.214.212,206.193.215.255,hosting,US 
206.193.216.0,206.193.220.255,business,US 
206.193.221.0,206.193.223.255,hosting,US 
206.193.224.0,206.193.238.255,isp,US 
206.193.239.0,206.193.239.255,business,US 
206.193.240.0,206.193.255.255,isp,US 
