142.214.0.0,142.214.63.255,business,US 
142.214.64.0,142.214.127.255,education,CA 
142.214.128.0,142.214.131.255,business,US 
142.214.132.0,142.214.135.255,business,CN 
142.214.136.0,142.214.139.255,business,US 
142.214.140.0,142.214.143.255,hosting,BG 
142.214.144.0,142.214.147.255,business,US 
142.214.148.0,142.214.151.255,business,LT 
142.214.152.0,142.214.159.255,isp,US 
142.214.160.0,142.214.232.255,hosting,US 
142.214.233.0,142.214.233.255,isp,US 
142.214.234.0,142.214.238.255,hosting,US 
142.214.239.0,142.214.239.255,isp,US 
142.214.240.0,142.214.240.255,hosting,US 
142.214.241.0,142.214.241.255,isp,US 
142.214.242.0,142.214.242.255,hosting,US 
142.214.243.0,142.214.243.255,isp,US 
142.214.244.0,142.214.247.255,hosting,US 
142.214.248.0,142.214.248.255,isp,US 
142.214.249.0,142.214.249.255,hosting,US 
142.214.250.0,142.214.250.255,isp,US 
142.214.251.0,142.215.255.255,hosting,US 
