216.118.0.0,216.118.63.255,business,AU 
216.118.64.0,216.118.127.255,hosting,US 
216.118.128.0,216.118.159.255,isp,CA 
216.118.160.0,216.118.196.143,business,US 
216.118.196.144,216.118.196.159,isp,US 
216.118.196.160,216.118.196.167,business,US 
216.118.196.168,216.118.196.191,isp,US 
216.118.196.192,216.118.196.255,business,US 
216.118.197.0,216.118.199.255,isp,US 
216.118.200.0,216.118.200.47,business,US 
216.118.200.48,216.118.200.55,business,CA 
216.118.200.56,216.118.200.63,isp,US 
216.118.200.64,216.118.200.127,business,US 
216.118.200.128,216.118.200.159,isp,US 
216.118.200.160,216.118.200.191,education,US 
216.118.200.192,216.118.200.255,isp,US 
216.118.201.0,216.118.201.31,business,US 
216.118.201.32,216.118.201.63,isp,US 
216.118.201.64,216.118.201.71,business,US 
216.118.201.72,216.118.201.255,isp,US 
216.118.202.0,216.118.202.255,business,US 
216.118.203.0,216.118.204.23,isp,US 
216.118.204.24,216.118.204.31,business,US 
216.118.204.32,216.118.204.255,isp,US 
216.118.205.0,216.118.205.127,business,US 
216.118.205.128,216.118.206.127,isp,US 
216.118.206.128,216.118.206.159,business,US 
216.118.206.160,216.118.207.63,isp,US 
216.118.207.64,216.118.207.143,business,US 
216.118.207.144,216.118.207.255,isp,US 
216.118.208.0,216.118.223.255,business,CA 
216.118.224.0,216.118.255.255,hosting,HK 
