198.200.0.0,198.200.5.255,business,NL 
198.200.6.0,198.200.9.255,business,PH 
198.200.10.0,198.200.27.255,business,US 
198.200.28.0,198.200.31.255,isp,CA 
198.200.32.0,198.200.63.255,hosting,US 
198.200.64.0,198.200.127.255,isp,CA 
198.200.128.0,198.200.129.255,business,US 
198.200.130.0,198.200.130.255,hosting,US 
198.200.131.0,198.200.137.255,business,US 
198.200.138.0,198.200.139.255,isp,US 
198.200.140.0,198.200.157.255,business,US 
198.200.158.0,198.200.158.255,education,US 
198.200.159.0,198.200.159.255,business,US 
198.200.160.0,198.200.160.255,education,US 
198.200.161.0,198.200.162.255,business,US 
198.200.163.0,198.200.163.255,government,US 
198.200.164.0,198.200.180.255,business,US 
198.200.181.0,198.200.181.255,education,US 
198.200.182.0,198.200.184.255,business,US 
198.200.185.0,198.200.185.255,isp,CA 
198.200.186.0,198.200.193.255,business,US 
198.200.194.0,198.200.194.255,hosting,US 
198.200.195.0,198.200.196.255,business,US 
198.200.197.0,198.200.197.255,education,US 
198.200.198.0,198.200.203.255,business,US 
198.200.204.0,198.200.204.255,education,US 
198.200.205.0,198.200.214.255,business,US 
198.200.215.0,198.200.218.255,education,US 
198.200.219.0,198.200.231.255,business,US 
198.200.232.0,198.200.233.255,education,US 
198.200.234.0,198.200.237.255,business,US 
198.200.238.0,198.200.238.255,government,US 
198.200.239.0,198.200.239.255,education,US 
198.200.240.0,198.200.241.255,hosting,US 
198.200.242.0,198.200.243.255,business,US 
198.200.244.0,198.200.244.255,government,US 
198.200.245.0,198.200.245.255,business,US 
198.200.246.0,198.200.246.255,hosting,US 
198.200.247.0,198.200.249.255,business,US 
198.200.250.0,198.200.250.255,hosting,US 
198.200.251.0,198.200.255.255,business,US 
