198.100.0.0,198.100.3.255,education,US 
198.100.4.0,198.100.7.255,hosting,US 
198.100.8.0,198.100.31.255,business,US 
198.100.32.0,198.100.41.255,isp,US 
198.100.42.0,198.100.43.255,business,US 
198.100.44.0,198.100.47.255,hosting,US 
198.100.48.0,198.100.63.255,isp,US 
198.100.64.0,198.100.95.255,business,US 
198.100.96.0,198.100.96.87,hosting,US 
198.100.96.88,198.100.96.95,business,US 
198.100.96.96,198.100.96.199,hosting,US 
198.100.96.200,198.100.96.207,business,US 
198.100.96.208,198.100.99.159,hosting,US 
198.100.99.160,198.100.99.191,business,US 
198.100.99.192,198.100.101.207,hosting,US 
198.100.101.208,198.100.101.215,hosting,HK 
198.100.101.216,198.100.102.127,hosting,US 
198.100.102.128,198.100.102.159,hosting,HK 
198.100.102.160,198.100.102.191,hosting,US 
198.100.102.192,198.100.102.223,business,US 
198.100.102.224,198.100.102.239,hosting,US 
198.100.102.240,198.100.102.255,business,US 
198.100.103.0,198.100.103.207,hosting,US 
198.100.103.208,198.100.103.215,hosting,HK 
198.100.103.216,198.100.104.223,hosting,US 
198.100.104.224,198.100.104.255,hosting,HK 
198.100.105.0,198.100.105.103,hosting,US 
198.100.105.104,198.100.105.111,business,US 
198.100.105.112,198.100.106.127,hosting,US 
198.100.106.128,198.100.106.143,business,US 
198.100.106.144,198.100.107.63,hosting,US 
198.100.107.64,198.100.107.71,hosting,RS 
198.100.107.72,198.100.107.95,hosting,US 
198.100.107.96,198.100.107.127,hosting,HK 
198.100.107.128,198.100.108.15,hosting,US 
198.100.108.16,198.100.108.31,hosting,RS 
198.100.108.32,198.100.108.207,hosting,US 
198.100.108.208,198.100.108.215,business,US 
198.100.108.216,198.100.111.143,hosting,US 
198.100.111.144,198.100.111.151,business,US 
198.100.111.152,198.100.112.223,hosting,US 
198.100.112.224,198.100.112.255,business,US 
198.100.113.0,198.100.115.191,hosting,US 
198.100.115.192,198.100.115.199,business,US 
198.100.115.200,198.100.115.207,hosting,US 
198.100.115.208,198.100.115.215,business,US 
198.100.115.216,198.100.116.223,hosting,US 
198.100.116.224,198.100.116.231,hosting,HK 
198.100.116.232,198.100.117.63,hosting,US 
198.100.117.64,198.100.117.95,business,US 
198.100.117.96,198.100.118.127,hosting,US 
198.100.118.128,198.100.118.159,business,US 
198.100.118.160,198.100.118.191,hosting,HK 
198.100.118.192,198.100.119.95,hosting,US 
198.100.119.96,198.100.119.103,business,US 
198.100.119.104,198.100.121.31,hosting,US 
198.100.121.32,198.100.121.39,business,US 
198.100.121.40,198.100.121.159,hosting,US 
198.100.121.160,198.100.121.191,business,US 
198.100.121.192,198.100.123.191,hosting,US 
198.100.123.192,198.100.123.223,business,US 
198.100.123.224,198.100.124.55,hosting,US 
198.100.124.56,198.100.124.63,business,US 
198.100.124.64,198.100.124.191,hosting,US 
198.100.124.192,198.100.124.255,business,US 
198.100.125.0,198.100.126.191,hosting,US 
198.100.126.192,198.100.126.223,hosting,HK 
198.100.126.224,198.100.127.255,hosting,US 
198.100.128.0,198.100.135.255,business,CA 
198.100.136.0,198.100.143.255,isp,US 
198.100.144.0,198.100.151.255,hosting,CA 
198.100.152.0,198.100.152.255,hosting,US 
198.100.153.0,198.100.155.255,hosting,CA 
198.100.156.0,198.100.157.255,hosting,US 
198.100.158.0,198.100.159.255,hosting,CA 
198.100.160.0,198.100.175.255,hosting,US 
198.100.176.0,198.100.191.255,business,LT 
198.100.192.0,198.100.195.255,hosting,US 
198.100.196.0,198.100.198.255,business,US 
198.100.199.0,198.100.199.255,hosting,US 
198.100.200.0,198.100.201.255,business,US 
198.100.202.0,198.100.203.255,hosting,US 
198.100.204.0,198.100.211.255,business,US 
198.100.212.0,198.100.229.255,hosting,US 
198.100.230.0,198.100.231.255,business,US 
198.100.232.0,198.100.241.255,hosting,US 
198.100.242.0,198.100.253.255,business,US 
198.100.254.0,198.100.254.255,hosting,US 
198.100.255.0,198.101.6.255,business,US 
