198.241.0.0,198.241.9.255,government,US 
198.241.10.0,198.241.15.255,hosting,US 
198.241.16.0,198.241.31.255,education,US 
198.241.32.0,198.241.43.255,business,US 
198.241.44.0,198.241.47.255,hosting,US 
198.241.48.0,198.241.48.255,business,US 
198.241.49.0,198.241.50.31,isp,US 
198.241.50.32,198.241.50.255,business,US 
198.241.51.0,198.241.51.63,isp,US 
198.241.51.64,198.241.51.127,business,US 
198.241.51.128,198.241.51.255,isp,US 
198.241.52.0,198.241.54.63,business,US 
198.241.54.64,198.241.54.159,isp,US 
198.241.54.160,198.241.54.191,business,US 
198.241.54.192,198.241.54.255,isp,US 
198.241.55.0,198.241.55.127,business,US 
198.241.55.128,198.241.55.223,isp,US 
198.241.55.224,198.241.55.231,business,US 
198.241.55.232,198.241.55.239,isp,US 
198.241.55.240,198.241.55.255,business,US 
198.241.56.0,198.241.57.255,isp,US 
198.241.58.0,198.241.59.255,business,US 
198.241.60.0,198.241.60.255,education,US 
198.241.61.0,198.241.61.255,business,US 
198.241.62.0,198.241.62.255,isp,US 
198.241.63.0,198.241.255.255,business,US 
