109.104.0.0,109.104.31.255,isp,SE,AS33885 
109.104.32.0,109.104.63.255,isp,DE,AS16097 
109.104.64.0,109.104.67.255,hosting,GB,AS20738 
109.104.68.0,109.104.69.255,hosting,ES,AS20738 
109.104.70.0,109.104.95.255,hosting,GB,AS20738 
109.104.96.0,109.104.103.255,hosting,GB,AS25577 
109.104.104.0,109.104.104.63,business,GB,AS25577 
109.104.104.64,109.104.104.95,hosting,GB,AS25577 
109.104.104.96,109.104.104.99,business,GB,AS25577 
109.104.104.100,109.104.104.111,hosting,GB,AS25577 
109.104.104.112,109.104.104.127,business,GB,AS25577 
109.104.104.128,109.104.104.191,hosting,GB,AS25577 
109.104.104.192,109.104.104.199,business,GB,AS25577 
109.104.104.200,109.104.104.231,hosting,GB,AS25577 
109.104.104.232,109.104.104.239,business,GB,AS25577 
109.104.104.240,109.104.105.79,hosting,GB,AS25577 
109.104.105.80,109.104.105.95,business,GB,AS25577 
109.104.105.96,109.104.105.99,hosting,GB,AS25577 
109.104.105.100,109.104.105.103,business,GB,AS25577 
109.104.105.104,109.104.105.135,hosting,GB,AS25577 
109.104.105.136,109.104.105.191,business,GB,AS25577 
109.104.105.192,109.104.105.207,hosting,GB,AS25577 
109.104.105.208,109.104.105.211,business,GB,AS25577 
109.104.105.212,109.104.109.223,hosting,GB,AS25577 
109.104.109.224,109.104.109.239,business,GB,AS25577 
109.104.109.240,109.104.109.255,hosting,GB,AS25577 
109.104.110.0,109.104.111.255,isp,GB,AS25577 
109.104.112.0,109.104.112.31,hosting,GB,AS25577 
109.104.112.32,109.104.112.39,business,GB,AS25577 
109.104.112.40,109.104.112.71,hosting,GB,AS25577 
109.104.112.72,109.104.112.79,business,GB,AS25577 
109.104.112.80,109.104.112.191,hosting,GB,AS25577 
109.104.112.192,109.104.112.223,business,GB,AS25577 
109.104.112.224,109.104.112.231,hosting,GB,AS25577 
109.104.112.232,109.104.112.239,education,GB,AS25577 
109.104.112.240,109.104.112.255,business,CG,AS25577 
109.104.113.0,109.104.113.7,business,GB,AS25577 
109.104.113.8,109.104.113.15,hosting,GB,AS25577 
109.104.113.16,109.104.113.31,business,GB,AS25577 
109.104.113.32,109.104.113.127,hosting,GB,AS25577 
109.104.113.128,109.104.113.143,business,GB,AS25577 
109.104.113.144,109.104.113.255,hosting,GB,AS25577 
109.104.114.0,109.104.114.255,business,GB,AS25577 
109.104.115.0,109.104.115.95,hosting,GB,AS25577 
109.104.115.96,109.104.115.111,business,GB,AS25577 
109.104.115.112,109.104.125.31,hosting,GB,AS25577 
109.104.125.32,109.104.125.63,business,GB,AS25577 
109.104.125.64,109.104.125.119,hosting,GB,AS25577 
109.104.125.120,109.104.125.127,business,GB,AS25577 
109.104.125.128,109.104.126.63,hosting,GB,AS25577 
109.104.126.64,109.104.126.95,business,GB,AS25577 
109.104.126.96,109.104.126.143,hosting,GB,AS25577 
109.104.126.144,109.104.126.145,business,GB,AS25577 
109.104.126.146,109.104.126.171,hosting,GB,AS25577 
109.104.126.172,109.104.126.175,business,GB,AS25577 
109.104.126.176,109.104.126.183,hosting,GB,AS25577 
109.104.126.184,109.104.126.223,business,GB,AS25577 
109.104.126.224,109.104.126.231,hosting,GB,AS25577 
109.104.126.232,109.104.126.235,business,GB,AS25577 
109.104.126.236,109.104.127.255,hosting,GB,AS25577 
109.104.128.0,109.104.131.255,hosting,AL,AS48265 
109.104.132.0,109.104.132.255,isp,AL,AS197706 
109.104.133.0,109.104.133.255,business,AL,AS43260 
109.104.134.0,109.104.134.255,hosting,AL,AS55154 
109.104.135.0,109.104.135.255,isp,AL,AS197706 
109.104.136.0,109.104.136.255,business,AL,AS55154 
109.104.137.0,109.104.137.255,isp,AL,AS197706 
109.104.138.0,109.104.143.255,business,AL,AS197706 
109.104.144.0,109.104.145.255,hosting,AL,AS48265 
109.104.146.0,109.104.147.255,hosting,SI,AS200325 
109.104.148.0,109.104.151.255,business,GT,AS25799 
109.104.152.0,109.104.152.255,hosting,US,AS136258 
109.104.153.0,109.104.154.255,hosting,NL,AS136258 
109.104.155.0,109.104.155.255,hosting,BR,AS136258 
109.104.156.0,109.104.159.255,isp,AL,AS197706 
109.104.160.0,109.104.191.255,isp,UA,AS31272 
109.104.192.0,109.104.223.255,isp,BG,AS12436 
109.104.224.0,109.104.231.255,isp,IT,AS48500 
109.104.232.0,109.104.232.255,hosting,IT,AS41606 
109.104.233.0,109.104.239.255,business,IT,AS49265 
109.104.240.0,109.104.243.255,isp,IT,AS49265 
109.104.244.0,109.104.251.255,business,IT,AS49265 
109.104.252.0,109.104.255.255,business,IT,AS60706 
