24.138.0.0,24.138.124.255,isp,CA 
24.138.125.0,24.138.125.63,business,CA 
24.138.125.64,24.138.127.255,isp,CA 
24.138.128.0,24.138.143.255,business,CA 
24.138.144.0,24.138.159.255,isp,CA 
24.138.160.0,24.138.160.31,business,CA 
24.138.160.32,24.138.160.39,isp,CA 
24.138.160.40,24.138.160.47,business,CA 
24.138.160.48,24.138.160.55,isp,CA 
24.138.160.56,24.138.160.63,business,CA 
24.138.160.64,24.138.160.215,isp,CA 
24.138.160.216,24.138.160.219,business,CA 
24.138.160.220,24.138.161.239,isp,CA 
24.138.161.240,24.138.161.255,business,CA 
24.138.162.0,24.138.163.91,isp,CA 
24.138.163.92,24.138.163.95,business,CA 
24.138.163.96,24.138.164.175,isp,CA 
24.138.164.176,24.138.164.183,business,CA 
24.138.164.184,24.138.165.123,isp,CA 
24.138.165.124,24.138.165.127,business,CA 
24.138.165.128,24.138.165.207,isp,CA 
24.138.165.208,24.138.165.211,business,CA 
24.138.165.212,24.138.191.255,isp,CA 
24.138.192.0,24.138.255.255,isp,PR 
