204.197.0.0,204.197.2.15,education, 
204.197.2.16,204.197.3.255,education,US 
204.197.4.0,204.197.5.255,education, 
204.197.6.0,204.197.127.255,education,US 
204.197.128.0,204.197.144.143,isp,US 
204.197.144.144,204.197.144.159,business,US 
204.197.144.160,204.197.150.63,isp,US 
204.197.150.64,204.197.150.71,business,US 
204.197.150.72,204.197.150.111,isp,US 
204.197.150.112,204.197.150.119,business,US 
204.197.150.120,204.197.150.239,isp,US 
204.197.150.240,204.197.150.247,business,US 
204.197.150.248,204.197.151.39,isp,US 
204.197.151.40,204.197.151.47,business,US 
204.197.151.48,204.197.151.63,isp,US 
204.197.151.64,204.197.151.95,business,US 
204.197.151.96,204.197.151.207,isp,US 
204.197.151.208,204.197.151.215,business,US 
204.197.151.216,204.197.153.247,isp,US 
204.197.153.248,204.197.154.127,business,US 
204.197.154.128,204.197.159.255,isp,US 
204.197.160.0,204.197.163.255,hosting,US 
204.197.164.0,204.197.169.255,isp,US 
204.197.170.0,204.197.173.255,business,US 
204.197.174.0,204.197.191.255,isp,CA 
204.197.192.0,204.197.207.255,business,US 
204.197.208.0,204.197.208.31,hosting,US 
204.197.208.32,204.197.208.63,business,US 
204.197.208.64,204.197.208.79,hosting,US 
204.197.208.80,204.197.208.159,business,US 
204.197.208.160,204.197.208.223,hosting,US 
204.197.208.224,204.197.208.239,business,US 
204.197.208.240,204.197.208.255,hosting,US 
204.197.209.0,204.197.219.255,business,US 
204.197.220.0,204.197.220.15,hosting,US 
204.197.220.16,204.197.223.255,business,US 
204.197.224.0,204.197.239.255,isp,US 
204.197.240.0,204.197.255.255,hosting,US 
