209.175.17.0,209.175.17.255,business,US 
209.175.18.0,209.175.43.255,hosting,US 
209.175.44.0,209.175.47.255,education,US 
209.175.48.0,209.175.68.255,hosting,US 
209.175.69.0,209.175.69.31,education,US 
209.175.69.32,209.175.71.255,hosting,US 
209.175.72.0,209.175.75.255,education,US 
209.175.76.0,209.175.92.63,hosting,US 
209.175.92.64,209.175.92.95,education,US 
209.175.92.96,209.175.155.255,hosting,US 
209.175.156.0,209.175.156.63,education,US 
209.175.156.64,209.175.158.127,hosting,US 
209.175.158.128,209.175.158.159,education,US 
209.175.158.160,209.175.174.255,hosting,US 
209.175.175.0,209.175.176.15,education,US 
209.175.176.16,209.175.180.31,hosting,US 
209.175.180.32,209.175.180.63,education,US 
209.175.180.64,209.175.255.255,hosting,US 
