220.247.0.0,220.247.9.255,isp,JP,AS2519 
220.247.10.0,220.247.11.255,business,JP,AS2519 
220.247.12.0,220.247.101.255,isp,JP,AS2519 
220.247.102.0,220.247.103.255,business,JP,AS2519 
220.247.104.0,220.247.127.255,isp,JP,AS2519 
220.247.128.0,220.247.128.255,isp,BD,AS134970 
220.247.129.0,220.247.129.255,isp,BD,AS135037 
220.247.130.0,220.247.131.255,isp,BD,AS134970 
220.247.132.0,220.247.134.255,hosting,NZ,AS18353 
220.247.135.0,220.247.135.255,business,NZ, 
220.247.136.0,220.247.138.255,isp,HK, 
220.247.139.0,220.247.139.255,hosting,HK,AS64079 
220.247.140.0,220.247.140.255,hosting,BR,AS23764 
220.247.141.0,220.247.141.255,isp,JP, 
220.247.142.0,220.247.142.255,isp,SG, 
220.247.143.0,220.247.143.255,hosting,SG,AS23764 
220.247.144.0,220.247.159.255,business,NZ, 
220.247.160.0,220.247.167.255,business,BD,AS38200 
220.247.168.0,220.247.175.255,isp,ID,AS9341 
220.247.176.0,220.247.183.255,isp,AU,AS9627 
220.247.184.0,220.247.191.255,isp,JP,AS17958 
220.247.192.0,220.247.192.255,business,LK,AS9329 
220.247.193.0,220.247.193.255,isp,LK,AS9329 
220.247.194.0,220.247.199.255,business,LK,AS9329 
220.247.200.0,220.247.200.255,isp,LK,AS9329 
220.247.201.0,220.247.201.255,business,LK,AS9329 
220.247.202.0,220.247.231.255,isp,LK,AS9329 
220.247.232.0,220.247.232.255,business,LK,AS9329 
220.247.233.0,220.247.255.255,isp,LK,AS9329 
