193.115.64.0,193.115.127.255,isp,AU 
193.115.128.0,193.115.191.255,business,JP 
193.115.192.0,193.115.195.95,hosting,GB 
193.115.195.96,193.115.195.111,business,GB 
193.115.195.112,193.115.206.95,hosting,GB 
193.115.206.96,193.115.206.111,business,GB 
193.115.206.112,193.115.224.135,hosting,GB 
193.115.224.136,193.115.224.139,business,GB 
193.115.224.140,193.115.230.115,hosting,GB 
193.115.230.116,193.115.230.119,business,GB 
193.115.230.120,193.115.233.19,hosting,GB 
193.115.233.20,193.115.233.23,business,GB 
193.115.233.24,193.115.249.239,hosting,GB 
193.115.249.240,193.115.249.243,business,GB 
193.115.249.244,193.115.251.47,hosting,GB 
193.115.251.48,193.115.251.51,business,GB 
193.115.251.52,193.115.255.255,hosting,GB 
