199.165.0.0,199.165.11.255,business,US 
199.165.12.0,199.165.15.255,hosting,US 
199.165.16.0,199.165.31.255,business,US 
199.165.32.0,199.165.63.255,isp,US 
199.165.64.0,199.165.127.255,education,US 
199.165.128.0,199.165.130.255,business,US 
199.165.131.0,199.165.132.255,education,US 
199.165.133.0,199.165.133.255,isp,US 
199.165.134.0,199.165.137.255,business,US 
199.165.138.0,199.165.138.255,government,US 
199.165.139.0,199.165.139.255,education,US 
199.165.140.0,199.165.142.255,business,US 
199.165.143.0,199.165.143.255,hosting,US 
199.165.144.0,199.165.147.255,business,US 
199.165.148.0,199.165.148.255,education,US 
199.165.149.0,199.165.149.255,hosting,US 
199.165.150.0,199.165.150.255,isp,US 
199.165.151.0,199.165.151.255,business,US 
199.165.152.0,199.165.154.255,education,US 
199.165.155.0,199.165.155.255,hosting,US 
199.165.156.0,199.165.171.255,business,US 
199.165.172.0,199.165.172.255,education,US 
199.165.173.0,199.165.176.255,business,US 
199.165.177.0,199.165.177.255,education,US 
199.165.178.0,199.165.178.255,business,US 
199.165.179.0,199.165.179.255,hosting,US 
199.165.180.0,199.165.192.255,business,US 
199.165.194.0,199.165.202.255,business,US 
199.165.203.0,199.165.203.255,hosting,US 
199.165.204.0,199.165.206.255,business,US 
199.165.207.0,199.165.207.255,education,US 
199.165.208.0,199.165.211.255,business,US 
199.165.212.0,199.165.212.255,hosting,CA 
199.165.213.0,199.165.213.255,business,US 
199.165.214.0,199.165.214.255,education,US 
199.165.215.0,199.165.217.255,business,US 
199.165.218.0,199.165.218.255,isp,US 
199.165.219.0,199.165.224.255,business,US 
199.165.225.0,199.165.225.255,education,US 
199.165.226.0,199.165.232.255,business,US 
199.165.233.0,199.165.233.255,hosting,US 
199.165.234.0,199.165.234.255,business,US 
199.165.235.0,199.165.235.255,education,US 
199.165.236.0,199.165.236.255,business,US 
199.165.237.0,199.165.238.255,hosting,US 
199.165.239.0,199.165.241.255,business,US 
199.165.242.0,199.165.242.255,isp,US 
199.165.243.0,199.165.253.255,business,US 
199.165.254.0,199.165.254.255,education,US 
