123.200.0.0,123.200.31.255,isp,BD 
123.200.32.0,123.200.63.255,isp,JP 
123.200.64.0,123.200.127.255,isp,KR 
123.200.128.0,123.200.169.255,hosting,AU 
123.200.170.0,123.200.171.255,business,AU 
123.200.172.0,123.200.172.255,hosting,AU 
123.200.173.0,123.200.173.255,business,AU 
123.200.174.0,123.200.175.255,hosting,AU 
123.200.176.0,123.200.178.255,business,AU 
123.200.179.0,123.200.191.255,hosting,AU 
123.200.192.0,123.200.199.255,business,AU 
123.200.200.0,123.200.223.255,hosting,AU 
123.200.224.0,123.200.231.255,isp,AU 
123.200.232.0,123.200.239.255,business,EC 
123.200.240.0,123.200.247.255,hosting,AU 
123.200.248.0,123.200.255.255,business,EC 
