159.117.40.0,159.117.47.255,hosting,PH 
159.117.48.0,159.117.63.255,isp,US 
159.117.64.0,159.117.95.255,isp,TW 
159.117.96.0,159.117.103.255,hosting,PH 
159.117.132.0,159.117.132.255,hosting,VN 
159.117.133.0,159.117.135.255,hosting,TH 
159.117.136.0,159.117.137.255,hosting,MY 
159.117.138.0,159.117.139.255,hosting,TH 
159.117.140.0,159.117.143.255,hosting,ID 
159.117.144.0,159.117.159.255,business,IN 
159.117.160.0,159.117.160.255,business,US 
159.117.161.0,159.117.161.127,isp,US 
159.117.161.128,159.117.161.135,business,US 
159.117.161.136,159.117.161.151,isp,US 
159.117.161.152,159.117.161.159,business,US 
159.117.161.160,159.117.161.191,isp,US 
159.117.161.192,159.117.161.199,business,US 
159.117.161.200,159.117.164.255,isp,US 
159.117.165.0,159.117.165.255,business,US 
159.117.166.0,159.117.171.255,isp,US 
159.117.172.0,159.117.175.255,business,US 
159.117.176.0,159.117.178.167,isp,US 
159.117.178.168,159.117.178.175,business,US 
159.117.178.176,159.117.191.255,isp,US 
159.117.192.0,159.117.199.255,hosting,NL 
159.117.201.0,159.117.201.255,hosting,MY 
159.117.202.0,159.117.204.255,hosting,NL 
159.117.205.0,159.117.205.11,hosting,US 
159.117.205.12,159.117.207.255,hosting,NL 
159.117.208.0,159.117.219.255,business,US 
159.117.223.0,159.117.223.255,business,MY 
159.117.224.0,159.117.255.255,isp,HK 
