172.102.0.0,172.102.3.255,isp,VG 
172.102.4.0,172.102.7.255,isp,US 
172.102.8.0,172.102.15.255,hosting,US 
172.102.16.0,172.102.31.255,isp,CA 
172.102.32.0,172.102.127.255,isp,US 
172.102.128.0,172.102.159.255,business,US 
172.102.160.0,172.102.191.255,isp,US 
172.102.192.0,172.102.192.255,hosting,GB 
172.102.193.0,172.102.193.255,hosting,US 
172.102.194.0,172.102.194.255,business,US 
172.102.195.0,172.102.195.255,hosting,US 
172.102.196.0,172.102.196.255,business,US 
172.102.197.0,172.102.197.255,hosting,US 
172.102.198.0,172.102.198.127,business,US 
172.102.198.128,172.102.198.255,hosting,US 
172.102.199.0,172.102.199.127,business,US 
172.102.199.128,172.102.199.255,hosting,US 
172.102.200.0,172.102.200.255,hosting,BR 
172.102.201.0,172.102.202.255,hosting,US 
172.102.203.0,172.102.203.255,hosting,GB 
172.102.204.0,172.102.204.255,hosting,US 
172.102.205.0,172.102.205.255,business,US 
172.102.206.0,172.102.208.255,hosting,US 
172.102.209.0,172.102.209.255,business,US 
172.102.210.0,172.102.210.255,hosting,NL 
172.102.211.0,172.102.211.255,hosting,US 
172.102.212.0,172.102.212.255,hosting,PA 
172.102.213.0,172.102.213.255,hosting,US 
172.102.214.0,172.102.214.255,hosting,CA 
172.102.215.0,172.102.215.255,hosting,US 
172.102.216.0,172.102.217.255,business,US 
172.102.218.0,172.102.218.255,hosting,CA 
172.102.219.0,172.102.220.255,hosting,US 
172.102.221.0,172.102.221.255,business,US 
172.102.222.0,172.102.223.255,hosting,BE 
172.102.228.0,172.102.231.255,isp,CA 
172.102.232.0,172.102.251.255,business,US 
172.102.252.0,172.103.31.255,isp,US 
