124.240.0.0,124.240.95.255,business,CN 
124.240.96.0,124.240.100.255,education,CN 
124.240.101.0,124.240.103.255,business,CN 
124.240.104.0,124.240.105.254,education,CN 
124.240.105.255,124.240.105.255,business,CN 
124.240.106.0,124.240.106.254,education,CN 
124.240.106.255,124.240.106.255,business,CN 
124.240.107.0,124.240.107.254,education,CN 
124.240.107.255,124.240.107.255,business,CN 
124.240.108.0,124.240.108.31,education,CN 
124.240.108.32,124.240.108.63,business,CN 
124.240.108.64,124.240.108.191,education,CN 
124.240.108.192,124.240.191.255,business,CN 
124.240.192.0,124.240.223.255,isp,PG 
124.240.224.0,124.240.255.255,isp,JP 
