213.195.0.0,213.195.15.255,hosting,IR,AS24631 
213.195.16.0,213.195.19.255,isp,IR,AS206065 
213.195.20.0,213.195.21.255,hosting,IR,AS24631 
213.195.22.0,213.195.22.255,hosting,IR,AS51431 
213.195.23.0,213.195.23.255,business,IR, 
213.195.24.0,213.195.31.255,isp,DE,AS15943 
213.195.32.0,213.195.51.255,isp,IR,AS57218 
213.195.52.0,213.195.63.255,isp,IR,AS58224 
213.195.64.0,213.195.127.255,isp,ES,AS15704 
213.195.128.0,213.195.131.255,isp,PL,AS12741 
213.195.132.0,213.195.132.255,business,PL,AS12741 
213.195.133.0,213.195.133.255,isp,PL,AS12741 
213.195.134.0,213.195.134.255,business,PL,AS12741 
213.195.135.0,213.195.135.255,isp,PL,AS12741 
213.195.136.0,213.195.137.255,business,PL,AS12741 
213.195.138.0,213.195.138.255,isp,PL,AS12741 
213.195.139.0,213.195.139.255,business,PL,AS12741 
213.195.140.0,213.195.147.15,isp,PL,AS12741 
213.195.147.16,213.195.147.23,business,PL,AS12741 
213.195.147.24,213.195.147.27,isp,PL,AS12741 
213.195.147.28,213.195.147.31,business,PL,AS12741 
213.195.147.32,213.195.147.39,isp,PL,AS12741 
213.195.147.40,213.195.147.63,business,PL,AS12741 
213.195.147.64,213.195.147.87,isp,PL,AS12741 
213.195.147.88,213.195.147.95,business,PL,AS12741 
213.195.147.96,213.195.147.111,isp,PL,AS12741 
213.195.147.112,213.195.147.135,business,PL,AS12741 
213.195.147.136,213.195.147.143,isp,PL,AS12741 
213.195.147.144,213.195.147.175,business,PL,AS12741 
213.195.147.176,213.195.147.239,isp,PL,AS12741 
213.195.147.240,213.195.147.255,business,PL,AS12741 
213.195.148.0,213.195.171.63,isp,PL,AS12741 
213.195.171.64,213.195.171.143,business,PL,AS12741 
213.195.171.144,213.195.171.151,isp,PL,AS12741 
213.195.171.152,213.195.171.199,business,PL,AS12741 
213.195.171.200,213.195.171.255,isp,PL,AS12741 
213.195.172.0,213.195.172.7,business,PL,AS12741 
213.195.172.8,213.195.172.55,isp,PL,AS12741 
213.195.172.56,213.195.172.63,business,PL,AS12741 
213.195.172.64,213.195.184.39,isp,PL,AS12741 
213.195.184.40,213.195.184.47,business,PL,AS12741 
213.195.184.48,213.195.184.63,isp,PL,AS12741 
213.195.184.64,213.195.184.71,business,PL,AS12741 
213.195.184.72,213.195.184.103,isp,PL,AS12741 
213.195.184.104,213.195.184.111,business,PL,AS12741 
213.195.184.112,213.195.186.255,isp,PL,AS12741 
213.195.187.0,213.195.187.31,business,PL,AS12741 
213.195.187.32,213.195.187.47,isp,PL,AS12741 
213.195.187.48,213.195.187.63,business,PL,AS12741 
213.195.187.64,213.195.191.255,isp,PL,AS12741 
213.195.192.0,213.195.193.255,isp,CZ,AS15935 
213.195.194.0,213.195.194.255,business,CZ,AS15935 
213.195.195.0,213.195.198.63,isp,CZ,AS15935 
213.195.198.64,213.195.198.95,business,CZ,AS15935 
213.195.198.96,213.195.198.127,isp,CZ,AS15935 
213.195.198.128,213.195.198.191,business,CZ,AS15935 
213.195.198.192,213.195.199.95,isp,CZ,AS15935 
213.195.199.96,213.195.199.127,business,CZ,AS15935 
213.195.199.128,213.195.199.207,isp,CZ,AS15935 
213.195.199.208,213.195.199.255,business,CZ,AS15935 
213.195.200.0,213.195.200.39,isp,CZ,AS15935 
213.195.200.40,213.195.200.47,business,CZ,AS15935 
213.195.200.48,213.195.200.63,isp,CZ,AS15935 
213.195.200.64,213.195.200.71,business,CZ,AS15935 
213.195.200.72,213.195.200.79,isp,CZ,AS15935 
213.195.200.80,213.195.200.95,business,CZ,AS15935 
213.195.200.96,213.195.200.175,isp,CZ,AS15935 
213.195.200.176,213.195.200.191,business,CZ,AS15935 
213.195.200.192,213.195.200.223,isp,CZ,AS15935 
213.195.200.224,213.195.200.239,business,CZ,AS15935 
213.195.200.240,213.195.200.255,isp,CZ,AS15935 
213.195.201.0,213.195.201.127,business,CZ,AS15935 
213.195.201.128,213.195.203.127,isp,CZ,AS15935 
213.195.203.128,213.195.203.135,business,CZ,AS15935 
213.195.203.136,213.195.204.255,isp,CZ,AS15935 
213.195.205.0,213.195.205.15,business,CZ,AS15935 
213.195.205.16,213.195.205.143,isp,CZ,AS15935 
213.195.205.144,213.195.205.151,business,CZ,AS15935 
213.195.205.152,213.195.205.159,isp,CZ,AS15935 
213.195.205.160,213.195.205.191,business,CZ,AS15935 
213.195.205.192,213.195.207.255,isp,CZ,AS15935 
213.195.208.0,213.195.209.255,business,CZ,AS15935 
213.195.210.0,213.195.211.255,isp,CZ,AS15935 
213.195.212.0,213.195.214.255,business,CZ,AS15935 
213.195.215.0,213.195.217.207,isp,CZ,AS15935 
213.195.217.208,213.195.217.223,business,CZ,AS15935 
213.195.217.224,213.195.217.255,isp,CZ,AS15935 
213.195.218.0,213.195.220.255,business,CZ,AS15935 
213.195.221.0,213.195.221.255,isp,CZ,AS15935 
213.195.222.0,213.195.224.255,business,CZ,AS15935 
213.195.225.0,213.195.228.255,isp,CZ,AS15935 
213.195.229.0,213.195.229.255,business,CZ,AS15935 
213.195.230.0,213.195.231.159,isp,CZ,AS15935 
213.195.231.160,213.195.231.191,business,CZ,AS15935 
213.195.231.192,213.195.231.239,isp,CZ,AS15935 
213.195.231.240,213.195.231.255,business,CZ,AS15935 
213.195.232.0,213.195.234.255,isp,CZ,AS15935 
213.195.235.0,213.195.235.255,business,CZ,AS15935 
213.195.236.0,213.195.236.255,isp,CZ,AS15935 
213.195.237.0,213.195.237.255,business,CZ,AS15935 
213.195.238.0,213.195.242.223,isp,CZ,AS15935 
213.195.242.224,213.195.242.231,business,CZ,AS15935 
213.195.242.232,213.195.255.255,isp,CZ,AS15935 
