213.196.0.0,213.196.15.255,business,NL 
213.196.16.0,213.196.51.255,hosting,NL 
213.196.52.0,213.196.55.255,hosting,RU 
213.196.56.0,213.196.63.255,hosting,NL 
213.196.64.0,213.196.111.255,isp,RS 
213.196.112.0,213.196.127.255,isp,BA 
213.196.128.0,213.196.147.255,business,CH 
213.196.148.0,213.196.150.255,isp,CH 
213.196.151.0,213.196.178.255,business,CH 
213.196.179.0,213.196.179.255,isp,CH 
213.196.180.0,213.196.180.31,business,CH 
213.196.180.32,213.196.180.175,isp,CH 
213.196.180.176,213.196.180.191,business,CH 
213.196.180.192,213.196.180.231,isp,CH 
213.196.180.232,213.196.180.251,business,CH 
213.196.180.252,213.196.180.255,isp,CH 
213.196.181.0,213.196.181.15,business,CH 
213.196.181.16,213.196.181.127,isp,CH 
213.196.181.128,213.196.181.223,business,CH 
213.196.181.224,213.196.181.239,isp,CH 
213.196.181.240,213.196.181.247,business,CH 
213.196.181.248,213.196.181.255,isp,CH 
213.196.182.0,213.196.182.95,business,CH 
213.196.182.96,213.196.182.159,isp,CH 
213.196.182.160,213.196.182.175,business,CH 
213.196.182.176,213.196.182.191,isp,CH 
213.196.182.192,213.196.182.207,business,CH 
213.196.182.208,213.196.183.31,isp,CH 
213.196.183.32,213.196.183.47,business,CH 
213.196.183.48,213.196.183.55,education,CH 
213.196.183.56,213.196.183.231,isp,CH 
213.196.183.232,213.196.183.239,business,CH 
213.196.183.240,213.196.183.255,isp,CH 
213.196.184.0,213.196.191.255,business,CH 
213.196.192.0,213.196.222.7,isp,DE 
213.196.222.8,213.196.222.15,business,DE 
213.196.222.16,213.196.222.51,isp,DE 
213.196.222.52,213.196.222.55,business,DE 
213.196.222.56,213.196.222.99,isp,DE 
213.196.222.100,213.196.222.103,business,DE 
213.196.222.104,213.196.222.127,isp,DE 
213.196.222.128,213.196.222.159,business,DE 
213.196.222.160,213.196.222.223,isp,DE 
213.196.222.224,213.196.222.239,business,DE 
213.196.222.240,213.196.223.31,isp,DE 
213.196.223.32,213.196.223.47,business,DE 
213.196.223.48,213.196.223.87,isp,DE 
213.196.223.88,213.196.223.99,business,DE 
213.196.223.100,213.196.223.159,isp,DE 
213.196.223.160,213.196.223.191,business,DE 
213.196.223.192,213.196.223.223,isp,DE 
213.196.223.224,213.196.223.239,business,DE 
213.196.223.240,213.196.224.175,isp,DE 
213.196.224.176,213.196.224.191,business,DE 
213.196.224.192,213.196.224.207,isp,DE 
213.196.224.208,213.196.224.223,business,DE 
213.196.224.224,213.196.232.255,isp,DE 
213.196.233.0,213.196.233.15,business,DE 
213.196.233.16,213.196.233.63,isp,DE 
213.196.233.64,213.196.233.111,business,DE 
213.196.233.112,213.196.233.119,isp,DE 
213.196.233.120,213.196.233.175,business,DE 
213.196.233.176,213.196.233.199,isp,DE 
213.196.233.200,213.196.233.207,business,DE 
213.196.233.208,213.196.233.255,isp,DE 
213.196.234.0,213.196.234.127,business,DE 
213.196.234.128,213.196.234.143,isp,DE 
213.196.234.144,213.196.234.159,business,DE 
213.196.234.160,213.196.234.175,isp,DE 
213.196.234.176,213.196.234.183,business,DE 
213.196.234.184,213.196.234.207,isp,DE 
213.196.234.208,213.196.234.215,business,DE 
213.196.234.216,213.196.234.223,isp,DE 
213.196.234.224,213.196.234.239,business,DE 
213.196.234.240,213.196.234.255,isp,DE 
213.196.235.0,213.196.235.159,business,DE 
213.196.235.160,213.196.235.191,isp,DE 
213.196.235.192,213.196.235.255,business,DE 
213.196.236.0,213.196.237.95,isp,DE 
213.196.237.96,213.196.237.111,business,DE 
213.196.237.112,213.196.255.255,isp,DE 
