192.110.0.0,192.110.155.255,business,US 
192.110.160.0,192.110.167.255,hosting,US 
192.110.168.0,192.110.170.63,business,US 
192.110.170.64,192.110.170.87,isp,US 
192.110.170.88,192.110.170.91,business,US 
192.110.170.92,192.110.170.95,isp,US 
192.110.170.96,192.110.170.143,business,US 
192.110.170.144,192.110.170.151,isp,US 
192.110.170.152,192.110.170.159,business,US 
192.110.170.160,192.110.170.175,isp,US 
192.110.170.176,192.110.170.183,business,US 
192.110.170.184,192.110.170.255,isp,US 
192.110.171.0,192.110.171.255,business,US 
192.110.172.0,192.110.175.255,hosting,CA 
192.110.176.0,192.110.191.255,hosting,US 
192.110.192.0,192.110.200.87,isp,US 
192.110.200.88,192.110.200.95,education,US 
192.110.200.96,192.110.200.199,isp,US 
192.110.200.200,192.110.200.207,business,US 
192.110.200.208,192.110.200.231,isp,US 
192.110.200.232,192.110.200.239,business,US 
192.110.200.240,192.110.201.159,isp,US 
192.110.201.160,192.110.201.191,business,US 
192.110.201.192,192.110.207.159,isp,US 
192.110.207.160,192.110.207.167,business,US 
192.110.207.168,192.110.207.255,isp,US 
192.110.208.0,192.110.215.255,hosting,US 
192.110.216.0,192.110.219.255,isp,US 
192.110.220.0,192.110.221.255,education,US 
192.110.222.0,192.110.254.255,business,US 
192.110.255.0,192.111.0.255,hosting,US 
