91.149.0.0,91.149.31.255,isp,NO,AS203995 
91.149.32.0,91.149.47.255,business,SE, 
91.149.48.0,91.149.63.255,isp,NO,AS203995 
91.149.64.0,91.149.127.255,isp,RU,AS41330 
91.149.128.0,91.149.135.255,isp,BY,AS42772 
91.149.136.0,91.149.143.255,isp,BY,AS31143 
91.149.144.0,91.149.154.255,isp,BY,AS42772 
91.149.155.0,91.149.155.255,business,BY,AS56740 
91.149.156.0,91.149.156.255,isp,BY, 
91.149.157.0,91.149.158.255,business,BY,AS6697 
91.149.159.0,91.149.159.255,business,BY,AS56740 
91.149.160.0,91.149.161.255,isp,BY,AS50334 
91.149.162.0,91.149.162.255,isp,BY,AS42772 
91.149.163.0,91.149.163.255,isp,BY, 
91.149.164.0,91.149.164.255,business,BY,AS211263 
91.149.165.0,91.149.165.255,isp,BY,AS42772 
91.149.166.0,91.149.166.255,isp,BY,AS6697 
91.149.167.0,91.149.167.255,hosting,BY,AS56740 
91.149.168.0,91.149.169.255,isp,BY,AS42772 
91.149.170.0,91.149.170.255,isp,BY, 
91.149.171.0,91.149.171.255,isp,BY,AS49711 
91.149.172.0,91.149.172.255,isp,BY,AS56497 
91.149.173.0,91.149.173.255,isp,BY,AS44397 
91.149.174.0,91.149.174.255,isp,BY,AS42772 
91.149.175.0,91.149.175.255,isp,BY,AS56497 
91.149.176.0,91.149.176.255,hosting,BY,AS208407 
91.149.177.0,91.149.177.255,business,BY, 
91.149.178.0,91.149.178.255,business,BY,AS56740 
91.149.179.0,91.149.179.255,isp,BY, 
91.149.180.0,91.149.180.255,business,BY,AS50294 
91.149.181.0,91.149.181.255,hosting,BY,AS50590 
91.149.182.0,91.149.182.255,business,BY, 
91.149.183.0,91.149.183.255,business,BY,AS202846 
91.149.184.0,91.149.188.255,isp,BY,AS42772 
91.149.189.0,91.149.189.255,hosting,BY,AS35594 
91.149.190.0,91.149.191.255,isp,BY,AS42772 
91.149.192.0,91.149.192.255,business,PL,AS25369 
91.149.193.0,91.149.193.255,business,PL,AS6830 
91.149.194.0,91.149.194.255,hosting,GB,AS200508 
91.149.195.0,91.149.195.255,business,NO, 
91.149.196.0,91.149.199.255,isp,PL,AS198401 
91.149.200.0,91.149.200.255,business,PL,AS43260 
91.149.201.0,91.149.201.255,isp,PL,AS198401 
91.149.202.0,91.149.203.255,business,GB,AS26383 
91.149.204.0,91.149.214.255,isp,PL,AS198401 
91.149.215.0,91.149.215.255,business,PL,AS6830 
91.149.216.0,91.149.217.255,isp,PL,AS198401 
91.149.218.0,91.149.218.255,business,FR,AS26383 
91.149.219.0,91.149.219.255,business,FI,AS26383 
91.149.220.0,91.149.220.255,isp,PL,AS198401 
91.149.221.0,91.149.221.255,hosting,PL,AS26383 
91.149.222.0,91.149.223.255,business,DE,AS26383 
91.149.224.0,91.149.224.255,hosting,NO,AS56655 
91.149.225.0,91.149.226.255,hosting,SC,AS201744 
91.149.227.0,91.149.227.255,hosting,GB,AS200508 
91.149.228.0,91.149.231.255,business,PL,AS6830 
91.149.232.0,91.149.233.255,hosting,DE,AS26383 
91.149.234.0,91.149.234.255,isp,PL,AS198401 
91.149.235.0,91.149.235.255,hosting,SC,AS201744 
91.149.236.0,91.149.237.255,hosting,HK,AS26383 
91.149.238.0,91.149.238.255,hosting,GB,AS26383 
91.149.239.0,91.149.239.255,hosting,US,AS26383 
91.149.240.0,91.149.241.255,hosting,NL,AS26383 
91.149.242.0,91.149.243.255,hosting,ES,AS26383 
91.149.244.0,91.149.251.255,business,PL,AS6830 
91.149.252.0,91.149.252.255,business,PL, 
91.149.253.0,91.149.253.255,hosting,PL,AS26383 
91.149.254.0,91.149.255.255,business,FI,AS26383 
