91.117.122.0,91.117.122.255,business,ES 
91.117.123.0,91.117.123.255,isp,ES 
91.117.124.0,91.117.124.31,business,ES 
91.117.124.32,91.117.124.87,isp,ES 
91.117.124.88,91.117.124.111,business,ES 
91.117.124.112,91.117.124.119,isp,ES 
91.117.124.120,91.117.124.143,business,ES 
91.117.124.144,91.117.124.207,isp,ES 
91.117.124.208,91.117.124.215,business,ES 
91.117.124.216,91.117.124.227,isp,ES 
91.117.124.228,91.117.124.239,business,ES 
91.117.124.240,91.117.124.247,isp,ES 
91.117.124.248,91.117.124.251,business,ES 
91.117.124.252,91.117.124.255,isp,ES 
91.117.125.0,91.117.125.95,business,ES 
91.117.125.96,91.117.125.127,isp,ES 
91.117.125.128,91.117.125.255,business,ES 
91.117.126.0,91.117.126.95,isp,ES 
91.117.126.96,91.117.127.15,business,ES 
91.117.127.16,91.117.127.19,isp,ES 
91.117.127.20,91.117.127.23,business,ES 
91.117.127.24,91.117.127.71,isp,ES 
91.117.127.72,91.117.127.75,business,ES 
91.117.127.76,91.117.251.255,isp,ES 
91.117.252.0,91.117.252.3,business,ES 
91.117.252.4,91.117.252.7,isp,ES 
91.117.252.8,91.117.252.19,business,ES 
91.117.252.20,91.117.252.23,isp,ES 
91.117.252.24,91.117.252.27,business,ES 
91.117.252.28,91.117.252.31,isp,ES 
91.117.252.32,91.117.252.47,business,ES 
91.117.252.48,91.117.252.55,isp,ES 
91.117.252.56,91.117.252.155,business,ES 
91.117.252.156,91.117.252.159,isp,ES 
91.117.252.160,91.117.252.163,business,ES 
91.117.252.164,91.117.252.207,isp,ES 
91.117.252.208,91.117.252.219,business,ES 
91.117.252.220,91.117.252.223,isp,ES 
91.117.252.224,91.117.252.227,business,ES 
91.117.252.228,91.117.252.231,isp,ES 
91.117.252.232,91.117.252.247,business,ES 
91.117.252.248,91.117.253.47,isp,ES 
91.117.253.48,91.117.253.63,business,ES 
91.117.253.64,91.117.253.71,isp,ES 
91.117.253.72,91.117.253.87,business,ES 
91.117.253.88,91.117.253.127,isp,ES 
91.117.253.128,91.117.254.23,business,ES 
91.117.254.24,91.117.254.27,isp,ES 
91.117.254.28,91.117.254.31,business,ES 
91.117.254.32,91.117.254.51,isp,ES 
91.117.254.52,91.117.254.55,business,ES 
91.117.254.56,91.117.254.63,isp,ES 
91.117.254.64,91.117.254.79,business,ES 
91.117.254.80,91.117.254.127,isp,ES 
91.117.254.128,91.117.255.3,business,ES 
91.117.255.4,91.117.255.7,isp,ES 
91.117.255.8,91.117.255.23,business,ES 
91.117.255.24,91.117.255.31,isp,ES 
91.117.255.32,91.117.255.63,business,ES 
91.117.255.64,91.117.255.103,isp,ES 
91.117.255.104,91.117.255.111,business,ES 
91.117.255.112,91.117.255.167,isp,ES 
91.117.255.168,91.117.255.171,business,ES 
91.117.255.172,91.117.255.175,isp,ES 
91.117.255.176,91.117.255.191,business,ES 
91.117.255.192,91.117.255.255,isp,ES 
