65.229.12.0,65.229.12.255,isp,GB 
65.229.13.0,65.229.123.255,isp,US 
65.229.124.0,65.229.125.255,isp,IN 
65.229.126.0,65.229.127.255,isp,KR 
65.229.128.0,65.229.129.255,isp,CA 
65.229.130.0,65.229.133.255,isp,JP 
65.229.134.0,65.229.135.255,isp,AU 
65.229.136.0,65.229.137.255,isp,SE 
65.229.138.0,65.229.139.255,isp,SG 
65.229.140.0,65.229.141.255,isp,BR 
65.229.142.0,65.229.143.255,isp,CL 
65.229.144.0,65.229.145.255,isp,FR 
65.229.146.0,65.229.147.255,isp,IN 
65.229.148.0,65.229.149.255,isp,IT 
65.229.150.0,65.229.151.255,isp,ES 
65.229.152.0,65.229.153.255,isp,MX 
65.229.154.0,65.229.155.255,isp,GB 
65.229.156.0,65.229.157.255,isp,HK 
65.229.158.0,65.229.159.255,isp,DE 
65.229.160.0,65.229.163.255,isp,DK 
65.229.164.0,65.240.3.255,isp,US 
