150.252.0.0,150.252.143.255,education,US 
150.252.144.0,150.252.159.255,business,US 
150.252.160.0,150.252.207.255,isp,US 
150.252.208.0,150.252.223.255,business,US 
150.252.224.0,150.252.231.255,isp,IT 
150.252.232.0,150.252.232.7,business,IT 
150.252.232.8,150.252.232.55,isp,IT 
150.252.232.56,150.252.232.63,business,IT 
150.252.232.64,150.252.232.79,isp,IT 
150.252.232.80,150.252.232.95,business,IT 
150.252.232.96,150.252.232.167,isp,IT 
150.252.232.168,150.252.232.207,business,IT 
150.252.232.208,150.252.232.223,isp,IT 
150.252.232.224,150.252.232.231,business,IT 
150.252.232.232,150.252.232.239,isp,IT 
150.252.232.240,150.252.232.247,business,IT 
150.252.232.248,150.252.233.15,isp,IT 
150.252.233.16,150.252.233.19,business,IT 
150.252.233.20,150.252.233.43,isp,IT 
150.252.233.44,150.252.233.47,business,IT 
150.252.233.48,150.252.233.51,isp,IT 
150.252.233.52,150.252.233.55,business,IT 
150.252.233.56,150.252.233.59,isp,IT 
150.252.233.60,150.252.233.63,business,IT 
150.252.233.64,150.252.233.67,isp,IT 
150.252.233.68,150.252.233.71,business,IT 
150.252.233.72,150.252.233.103,isp,IT 
150.252.233.104,150.252.233.107,business,IT 
150.252.233.108,150.252.233.115,isp,IT 
150.252.233.116,150.252.233.119,business,IT 
150.252.233.120,150.252.233.183,isp,IT 
150.252.233.184,150.252.233.187,business,IT 
150.252.233.188,150.252.233.191,isp,IT 
150.252.233.192,150.252.233.195,business,IT 
150.252.233.196,150.252.233.199,isp,IT 
150.252.233.200,150.252.233.203,business,IT 
150.252.233.204,150.252.234.67,isp,IT 
150.252.234.68,150.252.234.71,business,IT 
150.252.234.72,150.252.234.167,isp,IT 
150.252.234.168,150.252.234.171,business,IT 
150.252.234.172,150.252.234.211,isp,IT 
150.252.234.212,150.252.234.219,business,IT 
150.252.234.220,150.252.234.235,isp,IT 
150.252.234.236,150.252.234.239,business,IT 
150.252.234.240,150.252.234.251,isp,IT 
150.252.234.252,150.252.234.255,business,IT 
150.252.235.0,150.252.235.15,isp,IT 
150.252.235.16,150.252.235.19,business,IT 
150.252.235.20,150.252.235.39,isp,IT 
150.252.235.40,150.252.235.43,business,IT 
150.252.235.44,150.252.235.79,isp,IT 
150.252.235.80,150.252.235.83,business,IT 
150.252.235.84,150.252.235.103,isp,IT 
150.252.235.104,150.252.235.107,business,IT 
150.252.235.108,150.252.235.127,isp,IT 
150.252.235.128,150.252.235.131,business,IT 
150.252.235.132,150.252.235.163,isp,IT 
150.252.235.164,150.252.235.167,business,IT 
150.252.235.168,150.252.235.215,isp,IT 
150.252.235.216,150.252.235.219,business,IT 
150.252.235.220,150.252.236.3,isp,IT 
150.252.236.4,150.252.236.7,business,IT 
150.252.236.8,150.252.236.27,isp,IT 
150.252.236.28,150.252.236.31,business,IT 
150.252.236.32,150.252.236.43,isp,IT 
150.252.236.44,150.252.236.47,business,IT 
150.252.236.48,150.252.236.131,isp,IT 
150.252.236.132,150.252.236.135,business,IT 
150.252.236.136,150.252.236.147,isp,IT 
150.252.236.148,150.252.236.151,business,IT 
150.252.236.152,150.252.236.155,isp,IT 
150.252.236.156,150.252.236.163,business,IT 
150.252.236.164,150.252.236.167,isp,IT 
150.252.236.168,150.252.236.171,business,IT 
150.252.236.172,150.252.236.199,isp,IT 
150.252.236.200,150.252.236.207,business,IT 
150.252.236.208,150.252.237.11,isp,IT 
150.252.237.12,150.252.237.15,business,IT 
150.252.237.16,150.252.237.51,isp,IT 
150.252.237.52,150.252.237.55,business,IT 
150.252.237.56,150.252.237.67,isp,IT 
150.252.237.68,150.252.237.71,business,IT 
150.252.237.72,150.252.237.75,isp,IT 
150.252.237.76,150.252.237.79,business,IT 
150.252.237.80,150.252.237.91,isp,IT 
150.252.237.92,150.252.237.95,business,IT 
150.252.237.96,150.252.237.103,isp,IT 
150.252.237.104,150.252.237.107,business,IT 
150.252.237.108,150.252.239.255,isp,IT 
150.252.240.0,150.252.247.255,hosting,US 
150.252.248.0,150.253.31.255,education,US 
