80.208.0.0,80.208.127.255,isp,DK,AS44869 
80.208.128.0,80.208.191.255,isp,CH,AS15600 
80.208.192.0,80.208.207.255,business,JP,AS7514 
80.208.208.0,80.208.215.255,isp,DE,AS198570 
80.208.216.0,80.208.220.255,isp,GB,AS41107 
80.208.221.0,80.208.221.255,hosting,TR,AS48678 
80.208.222.0,80.208.223.255,isp,GB,AS41107 
80.208.224.0,80.208.231.255,hosting,LT,AS212531 
80.208.232.0,80.208.233.255,hosting,DE,AS9022 
80.208.234.0,80.208.234.15,business,DE,AS9022 
80.208.234.16,80.208.234.31,hosting,DE,AS9022 
80.208.234.32,80.208.234.63,business,DE,AS9022 
80.208.234.64,80.208.234.127,hosting,DE,AS9022 
80.208.234.128,80.208.234.191,business,DE,AS9022 
80.208.234.192,80.208.239.255,hosting,DE,AS9022 
80.208.240.0,80.208.247.255,isp,FI,AS47605 
80.208.248.0,80.208.251.255,isp,IT,AS204923 
80.208.252.0,80.208.253.255,hosting,US,AS397964 
80.208.254.0,80.208.254.255,hosting,GB,AS209820 
80.208.255.0,80.208.255.255,isp,DE,AS206825 
