184.171.0.0,184.171.127.255,education,US 
184.171.128.0,184.171.130.239,isp,US 
184.171.130.240,184.171.130.255,business,US 
184.171.131.0,184.171.139.255,isp,US 
184.171.140.0,184.171.140.255,hosting,US 
184.171.141.0,184.171.143.255,isp,US 
184.171.144.0,184.171.159.255,education,US 
184.171.160.0,184.171.160.39,hosting,US 
184.171.160.40,184.171.160.47,hosting,BR 
184.171.160.48,184.171.160.143,hosting,US 
184.171.160.144,184.171.160.151,hosting, 
184.171.160.152,184.171.161.55,hosting,US 
184.171.161.56,184.171.161.63,isp,BR 
184.171.161.64,184.171.161.71,hosting,US 
184.171.161.72,184.171.161.79,hosting,IN 
184.171.161.80,184.171.161.223,hosting,US 
184.171.161.224,184.171.161.231,hosting,IN 
184.171.161.232,184.171.162.191,hosting,US 
184.171.162.192,184.171.162.199,hosting,IN 
184.171.162.200,184.171.164.159,hosting,US 
184.171.164.160,184.171.164.167,hosting,IN 
184.171.164.168,184.171.164.175,hosting, 
184.171.164.176,184.171.164.191,hosting,US 
184.171.164.192,184.171.164.199,hosting, 
184.171.164.200,184.171.164.207,hosting,US 
184.171.164.208,184.171.164.215,hosting,IN 
184.171.164.216,184.171.165.39,hosting,US 
184.171.165.40,184.171.165.47,hosting,GB 
184.171.165.48,184.171.165.79,hosting,US 
184.171.165.80,184.171.165.87,hosting, 
184.171.165.88,184.171.165.127,hosting,US 
184.171.165.128,184.171.165.135,isp,US 
184.171.165.136,184.171.165.231,hosting,US 
184.171.165.232,184.171.165.239,hosting, 
184.171.165.240,184.171.166.103,hosting,US 
184.171.166.104,184.171.166.111,hosting,IN 
184.171.166.112,184.171.167.215,hosting,US 
184.171.167.216,184.171.167.223,hosting, 
184.171.167.224,184.171.169.143,hosting,US 
184.171.169.144,184.171.169.151,hosting,IN 
184.171.169.152,184.171.170.191,hosting,US 
184.171.170.192,184.171.170.207,isp,BR 
184.171.170.208,184.171.172.151,hosting,US 
184.171.172.152,184.171.172.159,hosting, 
184.171.172.160,184.171.172.239,hosting,US 
184.171.172.240,184.171.172.247,hosting,MV 
184.171.172.248,184.171.173.191,hosting,US 
184.171.173.192,184.171.173.199,hosting,AU 
184.171.173.200,184.171.175.31,hosting,US 
184.171.175.32,184.171.175.39,hosting,RO 
184.171.175.40,184.171.175.231,hosting,US 
184.171.175.232,184.171.175.239,hosting,IN 
184.171.175.240,184.171.191.255,hosting,US 
184.171.192.0,184.171.223.255,isp,CA 
184.171.224.0,184.171.239.255,isp,US 
184.171.240.0,184.171.240.104,hosting,US 
184.171.240.105,184.171.240.105,hosting,CL 
184.171.240.106,184.171.240.110,hosting,US 
184.171.240.111,184.171.240.113,hosting,CL 
184.171.240.114,184.171.240.159,hosting,US 
184.171.240.160,184.171.240.191,hosting,AE 
184.171.240.192,184.171.240.207,hosting,US 
184.171.240.208,184.171.240.215,hosting,AF 
184.171.240.216,184.171.241.30,hosting,US 
184.171.241.31,184.171.241.31,hosting,IN 
184.171.241.32,184.171.241.32,hosting,US 
184.171.241.33,184.171.241.34,hosting,IN 
184.171.241.35,184.171.243.100,hosting,US 
184.171.243.101,184.171.243.101,hosting,CL 
184.171.243.102,184.171.245.151,hosting,US 
184.171.245.152,184.171.245.159,hosting,LK 
184.171.245.160,184.171.245.175,hosting,US 
184.171.245.176,184.171.245.183,hosting,MX 
184.171.245.184,184.171.246.204,hosting,US 
184.171.246.205,184.171.246.206,hosting,AL 
184.171.246.207,184.171.246.237,hosting,US 
184.171.246.238,184.171.246.239,hosting,AL 
184.171.246.240,184.171.247.102,hosting,US 
184.171.247.103,184.171.247.103,hosting,CL 
184.171.247.104,184.171.249.55,hosting,US 
184.171.249.56,184.171.249.63,education,US 
184.171.249.64,184.171.249.147,hosting,US 
184.171.249.148,184.171.249.151,hosting,AE 
184.171.249.152,184.171.252.79,hosting,US 
184.171.252.80,184.171.252.87,hosting,AF 
184.171.252.88,184.171.252.187,hosting,US 
184.171.252.188,184.171.252.191,hosting,BR 
184.171.252.192,184.171.255.255,hosting,US 
