115.166.0.0,115.166.63.255,isp,AU 
115.166.64.0,115.166.95.255,isp,CN 
115.166.96.0,115.166.102.255,isp,ID 
115.166.103.0,115.166.103.255,isp,SG 
115.166.104.0,115.166.127.255,isp,ID 
115.166.128.0,115.166.131.255,isp,PS 
115.166.132.0,115.166.139.255,business,IN 
115.166.140.0,115.166.143.249,isp,IN 
115.166.143.250,115.166.143.254,business,IN 
115.166.143.255,115.166.143.255,isp,IN 
115.166.144.0,115.166.159.255,business,JP 
115.166.160.0,115.166.207.255,isp,JP 
115.166.208.0,115.166.223.255,hosting,JP 
115.166.224.0,115.166.255.255,business,JP 
