115.146.0.0,115.146.63.255,hosting,JP,AS9597 
115.146.64.0,115.146.79.255,isp,AU,AS38883 
115.146.80.0,115.146.95.255,business,AU,AS10148 
115.146.96.0,115.146.111.255,isp,MY, 
115.146.112.0,115.146.119.255,business,SG,AS55818 
115.146.120.0,115.146.127.255,hosting,VN,AS38732 
115.146.128.0,115.146.142.255,business,PH,AS18115 
115.146.143.0,115.146.143.255,isp,PH, 
115.146.144.0,115.146.145.255,business,PH,AS18115 
115.146.146.0,115.146.146.255,isp,PH, 
115.146.147.0,115.146.147.255,business,PH,AS18115 
115.146.148.0,115.146.148.255,isp,PH, 
115.146.149.0,115.146.151.255,business,PH,AS18115 
115.146.152.0,115.146.152.255,isp,PH, 
115.146.153.0,115.146.159.255,business,PH,AS18115 
115.146.160.0,115.146.160.255,isp,PH,AS9299 
115.146.161.0,115.146.161.255,business,PH,AS9299 
115.146.162.0,115.146.175.231,isp,PH,AS9299 
115.146.175.232,115.146.175.239,business,PH,AS9299 
115.146.175.240,115.146.176.63,isp,PH,AS9299 
115.146.176.64,115.146.176.71,business,PH,AS9299 
115.146.176.72,115.146.183.191,isp,PH,AS9299 
115.146.183.192,115.146.183.255,business,PH,AS9299 
115.146.184.0,115.146.184.127,isp,PH,AS9299 
115.146.184.128,115.146.184.191,business,PH,AS9299 
115.146.184.192,115.146.185.47,isp,PH,AS9299 
115.146.185.48,115.146.185.55,business,PH,AS9299 
115.146.185.56,115.146.185.151,isp,PH,AS9299 
115.146.185.152,115.146.185.159,business,PH,AS9299 
115.146.185.160,115.146.188.107,isp,PH,AS9299 
115.146.188.108,115.146.188.111,business,PH,AS9299 
115.146.188.112,115.146.189.51,isp,PH,AS9299 
115.146.189.52,115.146.189.55,business,PH,AS9299 
115.146.189.56,115.146.190.147,isp,PH,AS9299 
115.146.190.148,115.146.190.151,business,PH,AS9299 
115.146.190.152,115.146.197.7,isp,PH,AS9299 
115.146.197.8,115.146.197.11,business,PH,AS9299 
115.146.197.12,115.146.197.35,isp,PH,AS9299 
115.146.197.36,115.146.197.39,business,PH,AS9299 
115.146.197.40,115.146.197.43,isp,PH,AS9299 
115.146.197.44,115.146.197.47,business,PH,AS9299 
115.146.197.48,115.146.236.75,isp,PH,AS9299 
115.146.236.76,115.146.236.79,business,PH,AS9299 
115.146.236.80,115.147.11.111,isp,PH,AS9299 
