169.150.0.0,169.150.1.255,hosting,BR 
169.150.2.0,169.150.3.255,education,US 
169.150.4.0,169.150.7.255,isp,CA 
169.150.8.0,169.150.15.255,government,US 
169.150.16.0,169.150.95.255,isp,US 
169.150.96.0,169.150.99.255,education,US 
169.150.100.0,169.150.103.255,isp,US 
169.150.104.0,169.150.111.255,hosting,US 
169.150.112.0,169.150.127.255,business,US 
169.150.128.0,169.150.131.255,education,US 
169.150.132.0,169.150.135.255,hosting,US 
169.150.136.0,169.150.191.255,isp,US 
169.150.192.0,169.150.195.255,business,GB 
169.150.196.0,169.150.196.255,hosting,NL 
169.150.197.0,169.150.197.255,hosting,CH 
169.150.198.0,169.150.198.255,hosting,BR 
169.150.199.0,169.150.199.255,hosting,RO 
169.150.200.0,169.150.200.255,hosting,CZ 
169.150.201.0,169.150.201.255,hosting,DE 
169.150.202.0,169.150.202.255,hosting,IL 
169.150.203.0,169.150.203.255,hosting,US 
169.150.204.0,169.150.204.255,hosting,CA 
169.150.205.0,169.150.205.255,hosting,US 
169.150.206.0,169.150.206.255,hosting,DE 
169.150.207.0,169.150.207.255,hosting,SG 
169.150.208.0,169.150.208.255,hosting,SE 
169.150.209.0,169.150.211.255,hosting,DE 
169.150.212.0,169.150.213.255,hosting,GB 
169.150.214.0,169.150.214.255,hosting,AR 
169.150.215.0,169.150.215.255,hosting,TR 
169.150.216.0,169.150.217.255,hosting,US 
169.150.218.0,169.150.218.255,hosting,NL 
169.150.219.0,169.150.219.255,hosting,CA 
169.150.220.0,169.150.220.255,hosting,BR 
169.150.221.0,169.150.221.255,hosting,US 
169.150.222.0,169.150.222.255,hosting,HK 
169.150.223.0,169.150.223.255,hosting,NL 
169.150.224.0,169.150.224.255,hosting,US 
169.150.225.0,169.150.225.255,hosting,JP 
169.150.226.0,169.150.227.255,hosting,IL 
169.150.228.0,169.150.228.255,hosting,CO 
169.150.229.0,169.150.232.255,hosting,US 
169.150.233.0,169.150.233.255,hosting,DE 
169.150.234.0,169.150.234.255,hosting,US 
169.150.235.0,169.150.235.255,hosting,IL 
169.150.236.0,169.150.236.255,hosting,US 
169.150.237.0,169.150.237.255,hosting,BG 
169.150.238.0,169.150.238.255,hosting,ZA 
169.150.239.0,169.150.239.255,hosting,GB 
169.150.240.0,169.150.240.255,hosting,CH 
169.150.241.0,169.150.241.255,business,PE 
169.150.242.0,169.150.242.255,hosting,HR 
169.150.243.0,169.150.243.255,hosting,SG 
169.150.244.0,169.150.244.255,hosting,RO 
169.150.245.0,169.150.245.255,hosting,NL 
169.150.246.0,169.150.246.255,hosting,ZA 
169.150.247.0,169.150.247.255,hosting,DE 
169.150.248.0,169.150.248.255,hosting,IL 
169.150.249.0,169.150.249.255,hosting,US 
169.150.250.0,169.150.250.255,hosting,BR 
169.150.251.0,169.150.251.255,hosting,CA 
169.150.252.0,169.150.252.255,hosting,GR 
169.150.253.0,169.150.254.255,hosting,US 
169.150.255.0,169.150.255.255,hosting,DE 
