208.107.0.0,208.107.3.255,isp,US 
208.107.4.0,208.107.5.255,business,US 
208.107.6.0,208.107.231.255,isp,US 
208.107.232.0,208.107.233.255,business,US 
208.107.234.0,208.107.247.127,isp,US 
208.107.247.128,208.107.247.143,business,US 
208.107.247.144,208.107.247.151,isp,US 
208.107.247.152,208.107.247.159,business,US 
208.107.247.160,208.107.247.175,isp,US 
208.107.247.176,208.107.247.183,business,US 
208.107.247.184,208.107.247.187,isp,US 
208.107.247.188,208.107.247.191,business,US 
208.107.247.192,208.107.255.255,isp,US 
