64.111.0.0,64.111.15.255,education,US 
64.111.16.0,64.111.31.255,hosting,US 
64.111.32.0,64.111.32.63,business,US 
64.111.32.64,64.111.32.255,isp,US 
64.111.33.0,64.111.33.255,business,US 
64.111.34.0,64.111.40.255,isp,US 
64.111.41.0,64.111.41.255,business,US 
64.111.42.0,64.111.44.255,isp,US 
64.111.45.0,64.111.46.255,business,US 
64.111.47.0,64.111.51.15,isp,US 
64.111.51.16,64.111.51.31,business,US 
64.111.51.32,64.111.51.255,isp,US 
64.111.52.0,64.111.53.255,business,US 
64.111.54.0,64.111.56.255,isp,US 
64.111.57.0,64.111.57.255,business,US 
64.111.58.0,64.111.79.255,isp,US 
64.111.80.0,64.111.81.255,business,US 
64.111.82.0,64.111.82.255,business,CA 
64.111.83.0,64.111.85.255,business,US 
64.111.86.0,64.111.87.255,isp,CA 
64.111.88.0,64.111.95.255,business,CA 
64.111.96.0,64.111.127.255,hosting,US 
64.111.128.0,64.111.133.111,isp,US 
64.111.133.112,64.111.133.127,business,US 
64.111.133.128,64.111.133.175,isp,US 
64.111.133.176,64.111.133.191,business,US 
64.111.133.192,64.111.134.111,isp,US 
64.111.134.112,64.111.134.115,business,US 
64.111.134.116,64.111.134.195,isp,US 
64.111.134.196,64.111.134.199,business,US 
64.111.134.200,64.111.142.255,isp,US 
64.111.143.0,64.111.143.3,business,US 
64.111.143.4,64.111.143.11,isp,US 
64.111.143.12,64.111.143.15,business,US 
64.111.143.16,64.111.143.31,isp,US 
64.111.143.32,64.111.143.79,business,US 
64.111.143.80,64.111.143.127,isp,US 
64.111.143.128,64.111.143.143,business,US 
64.111.143.144,64.111.143.175,isp,US 
64.111.143.176,64.111.143.191,business,US 
64.111.143.192,64.111.143.255,isp,US 
64.111.144.0,64.111.145.255,business,US 
64.111.146.0,64.111.159.255,isp,US 
64.111.160.0,64.111.223.255,business,US 
64.111.224.0,64.111.255.255,isp,US 
