61.247.0.0,61.247.63.255,isp,ID,AS23700 
61.247.64.0,61.247.127.255,isp,KR,AS17854 
61.247.128.0,61.247.159.255,business,KR,AS10036 
61.247.160.0,61.247.160.71,isp,TW,AS9244 
61.247.160.72,61.247.160.79,business,TW,AS9244 
61.247.160.80,61.247.163.47,isp,TW,AS9244 
61.247.163.48,61.247.163.55,business,TW,AS9244 
61.247.163.56,61.247.164.111,isp,TW,AS9244 
61.247.164.112,61.247.164.127,business,TW,AS9244 
61.247.164.128,61.247.164.223,isp,TW,AS9244 
61.247.164.224,61.247.164.239,business,TW,AS9244 
61.247.164.240,61.247.175.255,isp,TW,AS9244 
61.247.176.0,61.247.191.255,isp,BD,AS38031 
61.247.192.0,61.247.223.255,hosting,KR,AS23576 
61.247.224.0,61.247.243.0,isp,IN,AS9498 
61.247.243.1,61.247.247.255,business,IN,AS9498 
61.247.248.0,61.247.248.3,isp,IN,AS9498 
61.247.248.4,61.247.248.11,business,IN,AS9498 
61.247.248.12,61.247.248.15,isp,IN,AS9498 
61.247.248.16,61.247.250.255,business,IN,AS9498 
61.247.251.0,61.247.252.255,isp,IN,AS9498 
61.247.253.0,61.247.253.255,isp,IN,AS24560 
61.247.254.0,61.247.254.15,isp,IN,AS9498 
61.247.254.16,61.247.254.255,business,IN,AS9498 
61.247.255.0,61.247.255.255,isp,IN,AS9498 
