205.201.0.0,205.201.15.255,hosting,SC 
205.201.16.0,205.201.23.255,isp,US 
205.201.24.0,205.201.27.255,business,US 
205.201.28.0,205.201.29.255,isp,US 
205.201.30.0,205.201.31.255,isp,CA 
205.201.32.0,205.201.39.255,isp,US 
205.201.40.0,205.201.47.255,business,US 
205.201.48.0,205.201.49.255,isp,US 
205.201.50.0,205.201.51.255,business,US 
205.201.52.0,205.201.54.255,isp,US 
205.201.55.0,205.201.55.255,isp,PL 
205.201.56.0,205.201.59.255,business,US 
205.201.60.0,205.201.60.255,hosting,US 
205.201.61.0,205.201.61.255,business,US 
205.201.62.0,205.201.63.255,hosting,US 
205.201.64.0,205.201.127.255,isp,US 
205.201.128.0,205.201.143.255,business,US 
205.201.144.0,205.201.144.24,isp,US 
205.201.144.25,205.201.144.34,business,US 
205.201.144.35,205.201.144.129,isp,US 
205.201.144.130,205.201.144.140,business,US 
205.201.144.141,205.201.144.151,isp,US 
205.201.144.152,205.201.144.175,business,US 
205.201.144.176,205.201.148.18,isp,US 
205.201.148.19,205.201.148.33,business,US 
205.201.148.34,205.201.148.220,isp,US 
205.201.148.221,205.201.148.237,business,US 
205.201.148.238,205.201.149.191,isp,US 
205.201.149.192,205.201.149.224,business,US 
205.201.149.225,205.201.159.255,isp,US 
205.201.160.0,205.201.191.255,business,US 
205.201.192.0,205.201.193.79,isp,US 
205.201.193.80,205.201.193.95,business,US 
205.201.193.96,205.201.193.143,isp,US 
205.201.193.144,205.201.193.151,business,US 
205.201.193.152,205.201.193.191,isp,US 
205.201.193.192,205.201.193.199,business,US 
205.201.193.200,205.201.193.223,isp,US 
205.201.193.224,205.201.193.255,business,US 
205.201.194.0,205.201.194.7,isp,US 
205.201.194.8,205.201.194.15,business,US 
205.201.194.16,205.201.194.23,isp,US 
205.201.194.24,205.201.194.31,business,US 
205.201.194.32,205.201.194.71,isp,US 
205.201.194.72,205.201.194.79,business,US 
205.201.194.80,205.201.194.95,isp,US 
205.201.194.96,205.201.194.103,business,US 
205.201.194.104,205.201.194.255,isp,US 
205.201.195.0,205.201.195.255,business,US 
205.201.196.0,205.201.196.215,isp,US 
205.201.196.216,205.201.196.223,business,US 
205.201.196.224,205.201.197.127,isp,US 
205.201.197.128,205.201.197.191,education,US 
205.201.197.192,205.201.200.63,isp,US 
205.201.200.64,205.201.200.127,business,US 
205.201.200.128,205.201.207.31,isp,US 
205.201.207.32,205.201.207.47,business,US 
205.201.207.48,205.201.209.55,isp,US 
205.201.209.56,205.201.209.63,business,US 
205.201.209.64,205.201.209.79,isp,US 
205.201.209.80,205.201.209.87,business,US 
205.201.209.88,205.201.209.127,isp,US 
205.201.209.128,205.201.209.135,business,US 
205.201.209.136,205.201.209.255,isp,US 
205.201.210.0,205.201.210.255,business,US 
205.201.211.0,205.201.212.55,isp,US 
205.201.212.56,205.201.212.63,business,US 
205.201.212.64,205.201.215.191,isp,US 
205.201.215.192,205.201.215.199,business,US 
205.201.215.200,205.201.215.223,isp,US 
205.201.215.224,205.201.215.239,business,US 
205.201.215.240,205.201.217.111,isp,US 
205.201.217.112,205.201.217.127,education,US 
205.201.217.128,205.201.219.79,isp,US 
205.201.219.80,205.201.219.95,business,US 
205.201.219.96,205.201.219.199,isp,US 
205.201.219.200,205.201.219.207,business,US 
205.201.219.208,205.201.219.223,isp,US 
205.201.219.224,205.201.219.231,business,US 
205.201.219.232,205.201.222.111,isp,US 
205.201.222.112,205.201.222.119,business,US 
205.201.222.120,205.201.222.135,isp,US 
205.201.222.136,205.201.222.143,business,US 
205.201.222.144,205.201.222.151,isp,US 
205.201.222.152,205.201.222.159,education,US 
205.201.222.160,205.201.222.183,isp,US 
205.201.222.184,205.201.222.191,business,US 
205.201.222.192,205.201.223.31,isp,US 
205.201.223.32,205.201.223.47,business,US 
205.201.223.48,205.201.223.63,isp,US 
205.201.223.64,205.201.223.95,business,US 
205.201.223.96,205.201.255.255,isp,US 
