130.180.0.0,130.180.127.255,isp,DE 
130.180.128.0,130.180.191.255,business,SY 
130.180.192.0,130.180.192.255,business,PL 
130.180.193.0,130.180.194.255,education,PL 
130.180.195.0,130.180.195.255,business,PL 
130.180.196.0,130.180.198.255,education,PL 
130.180.199.0,130.180.199.255,business,PL 
130.180.200.0,130.180.200.15,hosting,GB 
130.180.200.16,130.180.200.63,isp,GB 
130.180.200.64,130.180.200.79,hosting,GB 
130.180.200.80,130.180.201.127,isp,GB 
130.180.201.128,130.180.201.159,business,GB 
130.180.201.160,130.180.201.223,isp,GB 
130.180.201.224,130.180.201.255,hosting,GB 
130.180.202.0,130.180.202.255,business,GB 
130.180.203.0,130.180.204.63,hosting,GB 
130.180.204.64,130.180.204.127,isp,GB 
130.180.204.128,130.180.204.255,business,GB 
130.180.205.0,130.180.205.15,hosting,GB 
130.180.205.16,130.180.205.23,business,GB 
130.180.205.24,130.180.205.63,hosting,GB 
130.180.205.64,130.180.205.127,isp,GB 
130.180.205.128,130.180.205.255,business,GB 
130.180.206.0,130.180.206.31,hosting,GB 
130.180.206.32,130.180.206.127,business,GB 
130.180.206.128,130.180.206.159,hosting,GB 
130.180.206.160,130.180.206.175,isp,GB 
130.180.206.176,130.180.206.191,hosting,GB 
130.180.206.192,130.180.206.207,isp,GB 
130.180.206.208,130.180.206.223,hosting,GB 
130.180.206.224,130.180.206.255,isp,GB 
130.180.207.0,130.180.207.127,business,GB 
130.180.207.128,130.180.207.255,hosting,GB 
130.180.208.0,130.180.223.255,hosting,FR 
130.180.224.0,130.181.255.255,business,US 
