200.237.0.0,200.237.58.255,hosting,BR 
200.237.59.0,200.237.59.255,business,BR 
200.237.60.0,200.237.63.255,hosting,BR 
200.237.64.0,200.237.95.255,isp,BR 
200.237.96.0,200.237.111.255,business,BR 
200.237.112.0,200.237.112.39,isp,BR 
200.237.112.40,200.237.112.47,business,BR 
200.237.112.48,200.237.120.63,isp,BR 
200.237.120.64,200.237.120.95,business,BR 
200.237.120.96,200.237.162.35,isp,BR 
200.237.162.36,200.237.162.39,business,BR 
200.237.162.40,200.237.162.67,isp,BR 
200.237.162.68,200.237.162.75,business,BR 
200.237.162.76,200.237.162.79,education,BR 
200.237.162.80,200.237.162.83,isp,BR 
200.237.162.84,200.237.162.87,business,BR 
200.237.162.88,200.237.162.95,isp,BR 
200.237.162.96,200.237.162.103,business,BR 
200.237.162.104,200.237.162.107,isp,BR 
200.237.162.108,200.237.162.119,business,BR 
200.237.162.120,200.237.162.135,isp,BR 
200.237.162.136,200.237.162.143,business,BR 
200.237.162.144,200.237.162.155,isp,BR 
200.237.162.156,200.237.162.163,business,BR 
200.237.162.164,200.237.162.219,isp,BR 
200.237.162.220,200.237.162.235,business,BR 
200.237.162.236,200.237.162.243,isp,BR 
200.237.162.244,200.237.163.11,business,BR 
200.237.163.12,200.237.163.19,isp,BR 
200.237.163.20,200.237.163.23,business,BR 
200.237.163.24,200.237.163.27,isp,BR 
200.237.163.28,200.237.163.39,business,BR 
200.237.163.40,200.237.163.47,isp,BR 
200.237.163.48,200.237.163.67,business,BR 
200.237.163.68,200.237.163.71,isp,BR 
200.237.163.72,200.237.163.87,business,BR 
200.237.163.88,200.237.163.91,isp,BR 
200.237.163.92,200.237.163.95,business,BR 
200.237.163.96,200.237.163.99,isp,BR 
200.237.163.100,200.237.163.103,business,BR 
200.237.163.104,200.237.163.107,isp,BR 
200.237.163.108,200.237.163.115,business,BR 
200.237.163.116,200.237.163.119,isp,BR 
200.237.163.120,200.237.163.127,business,BR 
200.237.163.128,200.237.163.143,isp,BR 
200.237.163.144,200.237.163.144,business,BR 
200.237.163.145,200.237.163.171,isp,BR 
200.237.163.172,200.237.163.211,business,BR 
200.237.163.212,200.237.163.223,isp,BR 
200.237.163.224,200.237.163.227,education,BR 
200.237.163.228,200.237.163.231,business,BR 
200.237.163.232,200.237.163.239,isp,BR 
200.237.163.240,200.237.163.251,business,BR 
200.237.163.252,200.237.190.247,isp,BR 
200.237.190.248,200.237.190.255,business,BR 
200.237.191.0,200.237.191.255,isp,BR 
200.237.192.0,200.237.255.255,government,BR 
